Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rank
2018,NBA,BOS,0,0,0,,25.6,6-Jun,221,,82,241.2,42.1,90.5,0.465,12.6,34.5,0.365,29.5,56,0.527,15.6,19.5,0.802,9.8,34.7,44.5,26.3,8.6,5.3,12.8,20.4,112.4,1
2017,NBA,BOS,55,27,2,,24.7,6-Jun,221,,82,241.5,38.3,85.1,0.45,11.5,30.4,0.377,26.9,54.7,0.491,16,20.7,0.771,9.4,35.1,44.5,22.5,7.4,4.5,14,19.7,104,2
2016,NBA,BOS,53,29,1,,25.9,6-May,219,,82,240.9,38.6,85.1,0.454,12,33.4,0.359,26.6,51.7,0.515,18.7,23.2,0.807,9.1,32.9,42,25.2,7.5,4.1,13.3,20.6,108,3
2015,NBA,BOS,48,34,2,,25.2,6-May,220,,82,241.2,39.2,89.2,0.439,8.7,26.1,0.335,30.5,63.1,0.483,18.5,23.5,0.788,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7,4
2014,NBA,BOS,40,42,2,,25,6-Jun,221,,82,242.4,38.9,87.9,0.443,8,24.6,0.327,30.9,63.3,0.488,15.4,20.5,0.754,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4,5
2013,NBA,BOS,25,57,4,,25.4,6-Jun,221,,82,240.6,36.5,83.9,0.435,7,21.1,0.333,29.5,62.9,0.47,16.2,20.8,0.777,12,30.5,42.5,21,7.1,4.2,15.4,21.3,96.2,6
2012,NBA,BOS,41,40,3,,29.1,6-Jun,214,,81,244.9,37,79.7,0.465,6.1,17.2,0.358,30.9,62.6,0.494,16.3,21,0.776,8.1,31.3,39.3,22.8,8.2,4.5,14.6,21.2,96.5,7
2011,NBA,BOS,39,27,1,,29.3,6-Jun,213,,66,241.5,35.5,77.1,0.46,5.5,15,0.367,30,62.1,0.483,15.4,19.8,0.778,7.7,31.1,38.8,23.6,7.5,5.5,14.8,19.9,91.8,8
2010,NBA,BOS,56,26,1,,29.5,6-Jun,223,,82,241.2,36.9,75.8,0.486,5,13.6,0.365,31.9,62.2,0.513,17.8,23.1,0.77,7.8,31,38.8,23.4,8.2,4.2,14.6,20.5,96.5,9
2009,NBA,BOS,50,32,1,,29.4,6-Jun,219,,82,241.2,37.1,76.8,0.483,6.1,17.5,0.348,31,59.3,0.523,19,25.5,0.746,8.7,29.9,38.6,23.5,8.5,4.9,14.9,22.1,99.2,10
2008,NBA,BOS,62,20,1,,27.8,6-Jun,222,,82,242.4,37.5,77.2,0.486,6.6,16.5,0.397,30.9,60.7,0.51,19.4,25.3,0.765,10.6,31.5,42.1,22.7,7.6,4.7,15.6,23.1,100.9,11
2007,NBA,BOS,66,16,1,,27.9,6-Jun,220,,82,240.9,36.4,76.7,0.475,7.3,19.1,0.381,29.1,57.6,0.506,20.5,26.5,0.771,10.1,31.9,42,22.4,8.5,4.6,15.2,22.7,100.5,12
2006,NBA,BOS,24,58,5,,23.5,6-Jun,221,,82,242.1,34.9,78.7,0.443,5.7,15.6,0.367,29.1,63.1,0.462,20.4,26.6,0.767,11.2,29.2,40.4,19.9,7.2,4.7,16.5,24,95.8,13
2005,NBA,BOS,33,49,3,,25.3,6-Jul,227,,82,242.4,36,77.1,0.467,5.7,15.7,0.362,30.3,61.4,0.494,20.3,26.9,0.755,9.9,29.7,39.6,20.9,7,5.1,16.6,24.8,98,14
2004,NBA,BOS,45,37,1,,27.1,6-Jul,218,,82,242.4,37.1,79.4,0.468,5.3,15.3,0.349,31.8,64.1,0.496,21.6,28.3,0.764,11.1,29.7,40.8,22.1,8.1,5.2,15.8,24.4,101.3,15
2003,NBA,BOS,36,46,4,,26.4,6-Jul,218,,82,240.3,34.7,78.2,0.443,6.7,19.5,0.346,27.9,58.7,0.475,19.2,25.5,0.75,10.4,29.8,40.1,20.5,9.4,4,16.2,22.4,95.3,16
2002,NBA,BOS,44,38,3,,26.9,6-Jun,218,,82,241.8,32.9,79.4,0.415,8.8,26.3,0.334,24.2,53.1,0.455,18,24.3,0.742,10.4,30.1,40.5,19.2,8.8,3.7,14,21.4,92.7,17
2001,NBA,BOS,49,33,2,,26.2,6-Jun,220,,82,241.8,34.8,82.1,0.424,8.5,23.7,0.359,26.3,58.4,0.45,18.3,23.9,0.764,10.9,31.3,42.2,21,9.7,3.6,13.6,21.7,96.4,18
2000,NBA,BOS,36,46,5,,25.9,6-Jun,221,,82,241.8,33.8,79.1,0.428,7.2,19.9,0.363,26.6,59.2,0.45,19.8,26.7,0.74,10.9,28.9,39.8,20.8,9.4,4.1,15.7,23.8,94.6,19
1999,NBA,BOS,35,47,5,,25.4,6-Jun,218,,82,240.6,37.2,83.9,0.444,5.1,15.4,0.331,32.2,68.5,0.469,19.8,26.5,0.745,13.5,29.5,43,21.2,9.7,3.5,15.4,27.1,99.3,20
1998,NBA,BOS,19,31,5,,24.3,6-Jun,215,,50,243,36.3,83.3,0.436,5.5,15.2,0.36,30.9,68.1,0.453,14.9,21.5,0.692,13.6,29.2,42.8,21.5,9.1,5.1,16.1,23.9,93,21
1997,NBA,BOS,36,46,6,,23.9,6-Jun,209,,82,240.6,36.7,84.6,0.434,5.1,15.2,0.332,31.7,69.3,0.457,17.4,24,0.726,14.6,24.9,39.5,22.1,12,4.5,16.2,26.9,95.9,22
1996,NBA,BOS,15,67,7,,26.1,6-Jun,211,,82,242.7,37.4,85,0.44,5.7,16.2,0.351,31.7,68.7,0.461,20.1,26.8,0.75,13.4,26.7,40,21.9,9.9,3.8,16.4,23.4,100.6,23
1995,NBA,BOS,33,49,5,,26.3,6-May,208,,82,242.7,38.6,84.7,0.456,6.6,17.7,0.371,32,66.9,0.478,19.9,27.9,0.714,12.8,29.6,42.4,21.9,8,5,15.9,24.9,103.6,24
1994,NBA,BOS,35,47,3,,27.2,6-Jun,207,,82,241.5,38.8,83.5,0.464,4.4,12,0.368,34.4,71.5,0.48,20.8,27.7,0.753,14.1,28.3,42.4,21.7,7.5,4.4,15.9,24.1,102.8,25
1993,NBA,BOS,32,50,5,,27.8,6-Jun,204,,82,242.7,40.6,86.1,0.472,1.7,5.8,0.289,39,80.2,0.486,17.8,24.4,0.73,12.6,29,41.7,23.5,8.2,5.4,15.1,22.5,100.8,26
1992,NBA,BOS,48,34,2,,28.6,6-Jun,206,,82,241.2,42.1,86.5,0.487,1.3,4.7,0.287,40.8,81.8,0.498,18.1,23.3,0.777,13.1,29.7,42.8,24.4,7.9,5.6,14.3,22.7,103.7,27
1991,NBA,BOS,51,31,1,,29.2,6-Jun,207,,82,241.2,43.2,87.8,0.492,1.3,4.4,0.306,41.9,83.4,0.502,18.9,23.4,0.808,13.4,31.5,44.9,25.3,7.8,5.9,14.2,20.6,106.6,28
1990,NBA,BOS,56,26,1,,28.2,6-Jul,205,,82,241.5,45.1,88,0.512,1.3,4.2,0.315,43.7,83.8,0.522,20.1,24.4,0.824,13.3,32.9,46.2,26.3,8.2,6.9,16.1,20.7,111.5,29
1989,NBA,BOS,52,30,2,,30.2,6-Jul,209,,82,240.3,43.5,87.2,0.498,1.3,4.9,0.262,42.2,82.2,0.513,21.8,26.3,0.832,13,33,46,29.5,6.6,5.5,15.3,20.9,110,30
1988,NBA,BOS,42,40,3,,28.5,6-Jul,204,,82,241.2,42.9,87.1,0.493,1,3.8,0.252,42,83.3,0.504,22.4,28.6,0.783,14.4,29.8,44.2,26.7,7.8,5.1,16.3,22.9,109.2,31
1987,NBA,BOS,57,25,1,,29.8,6-Jul,205,,82,241.2,43.9,84.2,0.521,3.3,8.6,0.384,40.6,75.6,0.537,22.5,28,0.803,11.3,29.8,41.1,29.9,7.6,5.1,15.9,22,113.6,32
1986,NBA,BOS,59,23,1,,29.4,6-Jul,205,,82,241.5,44.5,86,0.517,2.5,6.9,0.366,41.9,79.1,0.53,21.2,26.3,0.808,11.4,31.5,42.9,29.5,6.8,6.4,15.9,20.9,112.6,33
1985,NBA,BOS,67,15,1,,29.3,6-Jul,204,,82,242.1,45.3,89.2,0.508,1.7,4.8,0.351,43.7,84.4,0.517,21.8,27.4,0.794,12.9,33.6,46.4,29.1,7.8,6.2,16.6,21.4,114.1,34
1984,NBA,BOS,63,19,1,,28.5,6-Jul,205,,82,240.3,45.4,89.3,0.508,1.3,3.8,0.356,44,85.6,0.515,22.7,28.1,0.806,13.6,32.1,45.7,27.9,7.9,5,16.2,21.7,114.8,35
1983,NBA,BOS,62,20,1,,28,6-Jul,204,,82,243.4,44.1,88.2,0.5,0.7,2.8,0.24,43.4,85.4,0.508,23.3,29.4,0.792,14.1,31,45.1,25.9,8.2,5.2,17.3,23.8,112.1,36
1982,NBA,BOS,56,26,2,,27.3,6-Jun,201,,82,241.8,45.3,92,0.492,0.5,2.3,0.21,44.8,89.8,0.499,21.1,28.6,0.737,15.5,30.9,46.4,27,9.6,6.4,18.8,25.1,112.1,37
1981,NBA,BOS,63,19,1,,27.3,6-Jul,202,,82,241.2,44.6,89.4,0.499,0.6,2.2,0.266,44,87.2,0.505,22.2,30,0.74,15.3,30.4,45.6,25.9,8,6.9,17.7,24.6,112,38
1980,NBA,BOS,62,20,1,,27,6-Jul,200,,82,241.2,43.7,86.6,0.504,0.8,2.9,0.27,42.9,83.6,0.513,21.7,28.9,0.752,14.1,29.6,43.6,26.9,8.3,7.2,19.2,24.3,109.9,39
1979,NBA,BOS,61,21,1,,27.3,6-Jun,201,,82,242.4,44.1,90.1,0.49,2,5.1,0.384,42.1,84.9,0.496,23.3,29.9,0.779,15,30,44.9,26.8,9.9,3.8,18.8,24.1,113.5,40
1978,NBA,BOS,29,53,5,,27.5,6-Jun,202,,82,240,43,89.6,0.48,,,,43,89.6,0.48,22.2,28.3,0.784,13.6,29.2,42.9,24.3,8.7,3.5,20.9,24.1,108.2,41
1977,NBA,BOS,32,50,3,,29.7,6-Jun,207,,82,241.8,42.6,93.1,0.458,,,,42.6,93.1,0.458,20.5,26.3,0.779,15.1,34.8,49.8,24,7.8,3.6,20.1,24.8,105.7,42
1976,NBA,BOS,44,38,2,,28.7,6-Jun,208,,82,241.8,42.2,94.8,0.445,,,,42.2,94.8,0.445,20.1,26.6,0.756,15.1,36.2,51.3,24.5,6.2,3.2,20.4,24.9,104.5,43
1975,NBA,BOS,54,28,1,,29,6-May,203,,82,240.9,43,96.4,0.446,,,,43,96.4,0.446,20.2,25.9,0.78,16.7,36.2,52.9,24.1,6.8,3.2,19.6,24.4,106.2,44
1974,NBA,BOS,60,22,1,,29.1,6-May,208,,82,240.9,43.7,95.4,0.458,,,,43.7,95.4,0.458,19,24,0.791,16,36,52,26.3,8.1,3.5,19.8,23.3,106.5,45
1973,NBA,BOS,56,26,1,,28.5,6-May,209,,82,241.2,44.3,97.2,0.456,,,,44.3,97.2,0.456,20.5,25.6,0.8,16.8,37.5,54.3,26.7,6.8,3.7,21.9,22.8,109,46
1972,NBA,BOS,68,14,1,,28,6-May,209,,82,240.6,46.5,103.8,0.448,,,,46.5,103.8,0.448,19.7,25.3,0.78,,,58.6,28.3,,,,22,112.7,47
1971,NBA,BOS,56,26,1,,27.6,6-May,208,,82,240.6,46.6,102.8,0.453,,,,46.6,102.8,0.453,22.4,28.9,0.777,,,54.4,27.2,,,,24.8,115.6,48
1970,NBA,BOS,44,38,3,,26.2,6-Jun,210,,82,241.2,46.4,105.1,0.442,,,,46.4,105.1,0.442,24.4,32.3,0.755,,,58.9,25,,,,26.1,117.2,49
1969,NBA,BOS,34,48,6,,28.4,6-May,206,,82,241.2,44.5,100.4,0.443,,,,44.5,100.4,0.443,26,33.1,0.786,,,52.9,22.9,,,,28.3,114.9,50
1968,NBA,BOS,48,34,4,,30.5,6-May,203,,82,241.8,43.7,101.4,0.431,,,,43.7,101.4,0.431,23.6,32.4,0.729,,,59,23.8,,,,25.3,111,51
1967,NBA,BOS,54,28,2,,29.5,6-May,205,,82,240.3,45,102.1,0.44,,,,45,102.1,0.44,26.2,36.4,0.721,,,69.1,21.9,,,,26.2,116.1,52
