Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rank
2018,NBA,MIL,0,0,0,,26.9,6-Jul,227,,82,241.2,43.4,91.1,0.476,13.5,38.2,0.353,29.9,52.9,0.565,17.9,23.2,0.773,9.3,40.4,49.7,26,7.5,5.9,13.9,19.6,118.1,1
2017,NBA,MIL,44,38,3,,25.9,6-Jul,218,,82,241.8,39.7,83,0.478,8.8,24.7,0.355,31,58.3,0.531,18.3,23.4,0.783,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5,2
2016,NBA,MIL,42,40,2,,25.6,6-Jul,223,,82,241.2,38.8,81.9,0.474,8.8,23.7,0.37,30,58.2,0.516,17.2,22.4,0.768,8.8,31.6,40.4,24.2,8.1,5.3,14,20.2,103.6,3
2015,NBA,MIL,33,49,5,,23.5,6-Aug,228,,82,241.8,38.4,82.2,0.467,5.4,15.6,0.345,33,66.6,0.495,17,22.7,0.747,10.5,31.2,41.7,23.1,8.2,5.8,15.2,20.7,99,4
2014,NBA,MIL,41,41,3,,24.6,6-Jul,216,,82,243,37.6,82,0.459,6.6,18.3,0.363,31,63.7,0.486,16,21.1,0.757,10.7,31.4,42.1,23.6,9.6,4.9,16.7,22.1,97.8,5
2013,NBA,MIL,15,67,5,,24.7,6-Jul,214,,82,242.4,36,82.2,0.438,6.7,18.9,0.353,29.3,63.2,0.464,16.8,22.5,0.747,11.8,29.3,41.1,21.5,6.6,4.9,15.1,20.9,95.5,6
2012,NBA,MIL,38,44,3,,26.4,6-Jun,209,,82,241.8,38.1,87.8,0.435,7.3,20.4,0.36,30.8,67.4,0.457,15.3,20.7,0.736,13,30.9,44,22.9,8.4,6.7,14.1,19,98.9,7
2011,NBA,MIL,31,35,3,,26.2,6-Jun,213,,66,240.4,37.9,85.6,0.443,6.6,19.2,0.345,31.3,66.5,0.471,16.6,21.4,0.774,12.4,30,42.5,23.5,8.3,5.1,14.1,19.3,99,8
2010,NBA,MIL,35,47,3,,26.7,6-Jun,214,,82,241.8,34.3,79.8,0.43,5.9,17.2,0.342,28.4,62.6,0.454,17.4,22.9,0.757,10.5,30.2,40.8,18.8,7.5,4.9,13.5,20.5,91.9,9
2009,NBA,MIL,46,36,2,,26.4,6-Jun,214,,82,243.7,37.2,85.3,0.436,7.9,22.1,0.356,29.3,63.2,0.464,15.4,20.4,0.755,11.8,31.2,43,21.2,7.1,4.7,13.2,22.2,97.7,10
2008,NBA,MIL,34,48,5,,26.3,6-Jun,217,,82,241.2,36.7,82.4,0.445,6.2,17.2,0.363,30.5,65.2,0.467,19.7,25.2,0.78,11.9,28.9,40.7,22,7.4,3.8,14.1,24.2,99.3,11
2007,NBA,MIL,26,56,5,,25.8,6-Jul,220,,82,242.1,36.9,82.3,0.449,5.5,16,0.344,31.4,66.2,0.474,17.7,24.1,0.733,12.9,28.8,41.7,21.5,6.6,4.4,14.8,21.3,97,12
2006,NBA,MIL,28,54,5,,26,6-May,215,,82,242.1,38.1,81.9,0.465,6.4,18,0.356,31.7,63.9,0.495,17.1,23.4,0.733,11.5,27.7,39.2,21.6,7.2,2.7,15.1,22.2,99.7,13
2005,NBA,MIL,40,42,5,,25.5,6-Jun,215,,82,242.1,36.3,80.1,0.453,6.2,16.3,0.38,30.1,63.8,0.472,19,25.8,0.738,11.3,29.9,41.2,21.6,7.3,3.3,14.6,23.2,97.8,14
2004,NBA,MIL,30,52,5,,26.9,6-Jul,217,,82,241.2,36.1,80.2,0.45,4,11.3,0.351,32.2,69,0.467,21,27.2,0.772,12,29.3,41.3,21,6.5,3.5,13.8,21.9,97.2,15
2003,NBA,MIL,41,41,4,,26.5,6-Jul,216,,82,241.2,36.2,81.1,0.447,4.9,14,0.35,31.3,67.1,0.467,20.7,26.7,0.775,11.7,30.5,42.2,22.8,6.8,4.7,13.5,20.3,98,16
2002,NBA,MIL,42,40,4,,29.3,6-Jul,217,,82,242.7,37.1,81.3,0.457,7.1,18.6,0.383,30,62.7,0.478,18.1,23.3,0.776,10.7,28.9,39.5,22.2,7.6,4.2,12.7,22.2,99.5,17
2001,NBA,MIL,41,41,5,,28.9,6-Jun,222,,82,242.7,37.1,80.2,0.462,7.2,19.3,0.375,29.9,60.9,0.49,16.1,21.5,0.748,10.3,31.2,41.4,22.5,7.3,4.7,14.1,21.8,97.5,18
2000,NBA,MIL,52,30,1,,28.2,6-Jun,216,,82,241.2,38,82.9,0.458,6.9,18.1,0.379,31.1,64.8,0.48,18,22.9,0.787,11.9,30.5,42.4,22.5,8.2,4.7,13.7,23.5,100.7,19
1999,NBA,MIL,42,40,5,,28.2,6-Jul,217,,82,242.1,38.7,83.3,0.465,4.8,13,0.369,33.9,70.2,0.483,19,24.2,0.786,12.4,28.9,41.3,22.6,8.2,4.6,15,24.6,101.2,20
1998,NBA,MIL,28,22,4,,28.3,6-Jun,216,,50,241,35.1,76.4,0.459,4.6,12.4,0.373,30.4,64,0.476,16.9,23.1,0.733,11.4,27.4,38.8,20.6,8.8,4,14.4,22.8,91.7,21
1997,NBA,MIL,36,46,7,,27.6,6-Jun,215,,82,243,35.6,78,0.456,3,8.6,0.354,32.5,69.5,0.469,20.3,26.4,0.767,12.6,27.3,39.9,20.1,8.9,4.4,16.9,23.4,94.5,22
1996,NBA,MIL,33,49,7,,27.3,6-Jun,210,,82,240.6,36.2,76.9,0.471,4,11.2,0.352,32.2,65.6,0.491,19,25.7,0.741,11.6,27.6,39.2,19.6,7.7,4.2,15.7,23.1,95.3,23
1995,NBA,MIL,25,57,7,,27.5,6-Jun,210,,82,240.6,37,79.1,0.467,4.4,12.9,0.338,32.6,66.3,0.493,17.2,23.3,0.738,11.9,26.4,38.3,21.4,7.1,3.7,15.8,23.7,95.6,24
1994,NBA,MIL,34,48,6,,25.7,6-Jul,208,,82,242.1,36.9,80.3,0.459,6,16.5,0.366,30.8,63.9,0.483,19.6,27.5,0.712,13,26.7,39.6,21.2,8.2,4.4,17,22.7,99.3,25
1993,NBA,MIL,20,62,6,,26.1,6-Jun,209,,82,240.3,37.1,83,0.447,4,12.4,0.325,33.1,70.6,0.469,18.7,26.6,0.702,13.7,26.3,40,23.7,9.8,5,16.4,22.2,96.9,26
1992,NBA,MIL,28,54,7,,26.9,6-Jun,210,,82,240.6,39.9,84.4,0.472,3.8,11.4,0.333,36,73,0.494,18.8,25.4,0.742,12.8,25.8,38.6,25.4,10.5,4.8,16.6,24.1,102.3,27
1991,NBA,MIL,31,51,6,,30.2,6-Jun,207,,82,242.4,40.5,88,0.46,4.5,12.3,0.369,36,75.7,0.475,19.5,25.7,0.759,15.8,26.5,42.3,24.6,10.5,3.9,16.5,23.2,105,28
1990,NBA,MIL,48,34,3,,29.3,6-Jun,210,,82,242.1,40.7,84.7,0.48,3.1,9.2,0.341,37.6,75.5,0.497,21.9,27.3,0.801,13.2,26.4,39.5,25.3,10.9,4,16.1,24.8,106.4,29
1989,NBA,MIL,44,38,3,,28.1,6-Jul,207,,82,241.8,41.2,87.1,0.473,2.5,8.2,0.312,38.7,79,0.49,21,27.7,0.758,13.5,27.4,40.9,25,10.1,4,16,25.4,106,30
1988,NBA,MIL,49,33,4,,28.5,6-Jul,208,,82,240.9,41.5,87.4,0.474,2.2,6.9,0.316,39.3,80.5,0.488,23.8,29,0.821,13.8,27.7,41.5,25.3,10,3.9,15.9,23.8,108.9,31
1987,NBA,MIL,42,40,4,,28.6,6-Jul,208,,82,241.2,41,86.3,0.475,1.6,5,0.324,39.4,81.3,0.485,22.3,28.8,0.775,13.6,28.5,42.1,26.8,8.2,4.6,15.5,24.3,106.1,32
1986,NBA,MIL,50,32,3,,27.7,6-Jun,205,,82,241.2,42.2,88.8,0.475,2.3,7,0.323,39.9,81.8,0.488,23.8,31.1,0.766,13.6,28.3,42,24.9,10.3,4.8,15.4,26.6,110.4,33
1985,NBA,MIL,57,25,1,,26,6-Jun,206,,82,241.5,43.9,89.1,0.493,1.5,4.7,0.327,42.4,84.5,0.502,25.2,32.9,0.764,14.5,29.5,44,26.3,9.8,5.6,16.7,27,114.5,34
1984,NBA,MIL,59,23,1,,25.7,6-Jun,208,,82,241.5,43.5,88.5,0.491,1.1,3.6,0.303,42.4,84.9,0.499,22.8,30.2,0.757,15.3,28.7,44,26.4,8.4,5.9,16.9,27.3,110.9,35
1983,NBA,MIL,50,32,1,,28.4,6-Jun,208,,82,242.7,41.9,85,0.492,0.7,2.8,0.254,41.1,82.2,0.501,21.3,28.7,0.74,13.8,29.1,42.9,25.8,7.8,6,17.3,26.4,105.7,36
1982,NBA,MIL,51,31,1,,28.1,6-Jun,206,,82,241.8,42.5,87,0.489,0.5,2.1,0.219,42.1,84.9,0.495,21.1,28,0.753,13.4,30.2,43.6,25.8,8.1,6.5,17.6,26,106.6,37
1981,NBA,MIL,55,27,1,,27.3,6-Jun,207,,82,241.5,43.2,85.5,0.505,0.6,2,0.299,42.6,83.5,0.51,21.4,28.4,0.753,14.2,29.5,43.7,27.2,9.3,5.5,19.4,27.8,108.4,38
1980,NBA,MIL,60,22,1,,26.6,6-Jun,204,,82,240.9,45.4,91.1,0.498,0.4,1.6,0.229,45,89.5,0.503,22,28.5,0.77,15.4,29.4,44.7,28.3,10.5,6.5,19.3,26.8,113.1,39
1979,NBA,MIL,49,33,1,,25.3,6-Jun,206,,82,241.5,44.9,92.1,0.488,0.6,1.9,0.323,44.3,90.2,0.491,19.6,25.6,0.764,15.2,29.2,44.4,27.8,9.5,6.2,18.2,23.6,110.1,40
1978,NBA,MIL,38,44,3,,24.8,6-Jun,206,,82,242.4,47.6,94.8,0.503,,,,47.6,94.8,0.503,18.8,24.6,0.762,14.1,28.9,43,31.2,10.5,5.3,19.2,25.7,114.1,41
1977,NBA,MIL,44,38,2,,23.8,6-Jun,204,,82,243.7,46.4,96.1,0.482,,,,46.4,96.1,0.482,19.7,27.1,0.726,15.1,30.2,45.4,28.1,10.6,5.8,20.5,24.9,112.4,42
1976,NBA,MIL,30,52,6,,25,6-Jun,204,,82,240.3,44.7,95.6,0.468,,,,44.7,95.6,0.468,18.9,25.3,0.75,14.9,30.7,45.6,24,9.6,4.2,20.1,25.5,108.4,43
1975,NBA,MIL,38,44,1,,24.9,6-Jun,209,,82,241.8,42.1,90.7,0.465,,,,42.1,90.7,0.465,17.5,23.8,0.736,13.3,32.8,46.1,22.2,8.7,5.7,19.8,24.9,101.8,44
1974,NBA,MIL,38,44,4,,26.2,6-Jun,205,,82,241.5,42.1,89.8,0.468,,,,42.1,89.8,0.468,16.5,21.3,0.775,12.5,33.7,46.2,23.6,7.3,4.9,18.8,23.8,100.7,45
1973,NBA,MIL,59,23,1,,27.3,6-Jul,205,,82,240.9,45.4,92.3,0.492,,,,45.4,92.3,0.492,16.2,21.2,0.763,13.8,35.1,49,27.1,8.9,6.3,20.7,22.7,107.1,46
1972,NBA,MIL,60,22,1,,26.4,6-Jun,205,,82,240.9,45.8,95.2,0.481,,,,45.8,95.2,0.481,15.5,20.6,0.753,,,51.8,27.1,,,,21.5,107.2,47
1971,NBA,MIL,63,19,1,,26.3,6-Jun,204,,82,241.2,46.5,93.3,0.498,,,,46.5,93.3,0.498,21.6,29.3,0.739,,,52.1,26.3,,,,22.7,114.6,48
1970,NBA,MIL,66,16,1,,26.1,6-Jun,205,,82,241.2,48.4,95.2,0.509,,,,48.4,95.2,0.509,21.5,29,0.742,,,53,27.4,,,,22.5,118.4,49
1969,NBA,MIL,56,26,2,,24.9,6-Jun,207,,82,241.2,47.8,98.1,0.488,,,,47.8,98.1,0.488,23.1,31.6,0.732,,,53.9,26.4,,,,24,118.8,50
1968,NBA,MIL,27,55,7,,26.7,6-May,212,,82,240,43.1,100.7,0.428,,,,43.1,100.7,0.428,24,32.2,0.745,,,57.6,23,,,,26.7,110.2,51
