Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rank
2018,NBA,CHI,19,50,4,,24,6-Jun,218,,69,242.9,39.6,87.3,0.454,9.4,26.6,0.354,30.2,60.7,0.497,16.3,20.7,0.789,8.4,34.1,42.5,22.1,7.5,4.4,14.4,20.6,105,1
2017,NBA,CHI,27,55,5,,24.4,6-Jul,216,,82,242.1,38.7,88.8,0.435,11,31.1,0.355,27.6,57.8,0.478,14.6,19.2,0.759,9.6,35,44.7,23.5,7.6,3.5,14,19.2,102.9,2
2016,NBA,CHI,41,41,4,,26.9,6-Jul,221,,82,241.2,38.6,87.1,0.444,7.6,22.3,0.34,31,64.8,0.479,18,22.5,0.798,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,102.9,3
2015,NBA,CHI,42,40,4,,27.6,6-Jul,215,,82,242.7,38.6,87.4,0.441,7.9,21.4,0.371,30.7,66.1,0.464,16.5,21,0.787,11.1,35.2,46.3,22.8,6,5.7,13.9,18.8,101.6,4
2014,NBA,CHI,50,32,2,,28.8,6-Jul,210,,82,242.4,36.6,82.9,0.442,7.9,22.3,0.353,28.7,60.6,0.474,19.7,25.2,0.783,11.7,34,45.7,21.7,6.3,5.8,14,18.2,100.8,5
2013,NBA,CHI,48,34,2,,28.6,6-Jul,217,,82,243,34.7,80.2,0.432,6.2,17.8,0.348,28.5,62.4,0.456,18.1,23.3,0.779,11.4,32.7,44.1,22.7,7.2,5.2,14.9,19.1,93.7,6
2012,NBA,CHI,45,37,2,,28,6-Jun,215,,82,241.8,35.7,81.7,0.437,5.4,15.4,0.353,30.2,66.3,0.456,16.4,21.2,0.773,12.5,30.7,43.2,23,7.2,5.1,14.3,19.7,93.2,7
2011,NBA,CHI,50,16,1,,27.1,6-Jul,218,,66,241.5,37.4,82.8,0.452,6.3,16.9,0.375,31,65.8,0.471,15.2,21.1,0.722,13.9,32.8,46.7,23.1,6.9,5.9,14,17.3,96.3,8
2010,NBA,CHI,62,20,1,,26.4,6-Jul,220,,82,241.8,37.1,80.3,0.462,6.2,17.3,0.361,30.9,63.1,0.489,18.2,24.5,0.743,11.8,32.4,44.2,22.3,7.2,5.7,14.2,20,98.6,9
2009,NBA,CHI,41,41,3,,26.2,6-Jun,213,,82,242.7,37.6,83.2,0.451,4.3,13,0.33,33.3,70.2,0.474,18,23.9,0.754,11.4,33.1,44.5,20.8,6.5,5.8,14.3,20.1,97.5,10
