Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rank
2018,NBA,CLE,0,0,0,,25.3,6-Jun,214,,82,240.9,38.9,87.6,0.444,10.3,29.1,0.355,28.6,58.5,0.488,16.4,20.7,0.792,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20,104.5,1
2017,NBA,CLE,50,32,1,,30.6,6-Jun,227,,82,240.6,40.4,84.8,0.476,12,32.1,0.372,28.4,52.6,0.54,18.1,23.3,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9,2
2016,NBA,CLE,51,31,1,,29.2,6-Jun,228,,82,242.4,39.9,84.9,0.47,13,33.9,0.384,26.9,51,0.528,17.5,23.3,0.748,9.3,34.4,43.7,22.7,6.6,4,13.7,18.1,110.3,3
2015,NBA,CLE,57,25,1,,28.1,6-Jul,231,,82,242.1,38.7,84,0.46,10.7,29.6,0.362,27.9,54.4,0.514,16.3,21.7,0.748,10.6,33.9,44.5,22.7,6.7,3.9,13.6,20.3,104.3,4
2014,NBA,CLE,53,29,1,,26.9,6-Jul,225,,82,241.2,37.7,82.2,0.458,10.1,27.5,0.367,27.6,54.7,0.504,17.7,23.6,0.751,11.1,31.9,43,22.1,7.4,4.1,14.3,18.4,103.1,5
2013,NBA,CLE,33,49,3,,24.9,6-Jun,217,,82,243,37,84.8,0.437,7.1,20,0.356,29.9,64.8,0.461,17,22.7,0.751,12.1,32.1,44.1,21.2,7.1,3.7,14.2,20,98.2,6
2012,NBA,CLE,24,58,5,,24.1,6-Jun,216,,82,240.6,36.5,84.2,0.434,6.7,19.3,0.346,29.8,64.9,0.46,16.8,22.3,0.756,12.2,28.8,41,20.7,7.9,4.1,14,21.2,96.5,7
2011,NBA,CLE,21,45,5,,26,6-Jun,215,,66,241.9,34.3,81.2,0.422,6.7,19.3,0.346,27.6,61.9,0.446,17.8,24.9,0.716,12.7,29.5,42.3,19.8,7.1,4,15.4,20,93,8
2010,NBA,CLE,19,63,5,,26.6,6-Jun,215,,82,240.9,35.2,81.1,0.434,6.2,18.2,0.342,29,62.9,0.461,18.9,25.3,0.745,10.4,29.9,40.3,21,6.6,4.2,14.2,20.1,95.5,9
2009,NBA,CLE,61,21,1,,28,6-Jul,224,,82,241.2,37.8,77.9,0.485,7.3,19.3,0.381,30.5,58.6,0.52,19.1,26.6,0.72,9.6,32.8,42.5,22.4,6.9,5.2,13.9,19.4,102.1,10
2008,NBA,CLE,66,16,1,,26.6,6-Jul,218,,82,241.2,36.9,78.7,0.468,8,20.4,0.393,28.9,58.3,0.495,18.6,24.5,0.757,10.8,31.4,42.2,20.3,7.2,5.3,12.7,20.3,100.3,11
2007,NBA,CLE,45,37,2,,27.1,6-Jul,219,,82,242.1,35.8,81.7,0.439,6.7,18.8,0.358,29.1,62.8,0.463,18,25.1,0.717,13.3,31.3,44.6,20,7.1,5.2,14,20.9,96.4,12
2006,NBA,CLE,50,32,2,,26.9,6-Jul,216,,82,242.4,36.3,81.2,0.447,6,17.1,0.352,30.3,64.1,0.473,18.1,26,0.696,12.7,30.8,43.5,20.8,7.6,4.3,14.4,21.7,96.8,13
2005,NBA,CLE,50,32,2,,27.1,6-Jul,216,,82,241.8,35.5,78.2,0.454,6.1,17.9,0.339,29.4,60.3,0.487,20.6,28.3,0.729,11.7,30.6,42.3,19,6.9,4.8,13.9,21.1,97.6,14
2004,NBA,CLE,42,40,4,,26.5,6-Aug,224,,82,242.1,36.5,81.5,0.447,3.7,11,0.332,32.8,70.5,0.465,19.9,26.5,0.752,13.6,28.7,42.3,22.6,8,5.6,13.9,22.6,96.5,15
2003,NBA,CLE,35,47,5,,24.9,6-Aug,229,,82,242.1,35.6,82.4,0.433,3,9.6,0.314,32.6,72.8,0.448,18.6,24.8,0.753,13.6,31.9,45.6,22,7.1,6.5,14.8,21.3,92.9,16
2002,NBA,CLE,17,65,8,,23.5,6-Jul,221,,82,241.8,34.8,82.3,0.422,3.6,10.9,0.327,31.2,71.3,0.437,18.3,24.5,0.747,13.6,31,44.6,20.9,7.8,6.4,18.3,22.7,91.4,17
2001,NBA,CLE,29,53,7,,26,6-Jul,220,,82,242.1,36,80.3,0.448,4.7,12.5,0.377,31.2,67.8,0.461,18.6,24.1,0.772,11.8,30.3,42.1,23.1,7,5.7,14.6,21.4,95.3,18
2000,NBA,CLE,30,52,6,,26.9,6-Jun,225,,82,241.8,35.2,79.7,0.442,2.7,8,0.334,32.6,71.6,0.455,19,24.9,0.765,12.4,29.8,42.1,20.8,7.8,5.3,16.5,23.2,92.2,19
1999,NBA,CLE,32,50,6,,27.2,6-Jun,215,,82,242.1,36.3,82.1,0.442,4.2,11.2,0.373,32.1,70.9,0.453,20.2,26.9,0.75,12.3,30.5,42.8,23.7,8.7,4.4,17.4,27.1,97,20
1998,NBA,CLE,22,28,7,,26.7,6-Jun,210,,50,241,31.2,71.2,0.439,3.6,10.7,0.341,27.6,60.5,0.456,20.3,27.1,0.749,9.4,26.3,35.8,21.9,9,4.1,15.7,24.2,86.4,21
1997,NBA,CLE,47,35,5,,24.6,6-Jul,213,,82,241.8,34.4,75.7,0.454,3.6,9.8,0.372,30.7,65.9,0.466,20.2,26.7,0.756,11.6,28.4,40.1,23.1,9.9,5.1,17.3,23.6,92.5,22
1996,NBA,CLE,42,40,5,,26.7,6-Jun,217,,82,242.1,33,72.8,0.453,5.9,15.7,0.376,27.1,57.2,0.474,15.6,21.6,0.723,11.1,26.3,37.4,20.9,8,3.8,14.5,23,87.5,23
1995,NBA,CLE,47,35,3,,27.5,6-Jun,213,,82,241.8,33.7,73.1,0.46,7.3,19.3,0.377,26.4,53.9,0.49,16.5,21.6,0.763,10.6,25.1,35.6,22.2,8.2,4.1,13.1,20.5,91.1,24
1994,NBA,CLE,43,39,4,,28.3,6-Jun,211,,82,243,33.6,76.3,0.441,4.9,12.6,0.385,28.8,63.7,0.452,18.4,24.2,0.76,12.7,27.3,40,20.4,7.7,4.3,14.3,20.7,90.5,25
1993,NBA,CLE,47,35,4,,27.9,6-Jun,205,,82,242.1,38.2,82.1,0.465,3.6,9.9,0.362,34.6,72.2,0.48,21.2,27.5,0.77,13.3,28.7,42,25,8.6,5.2,13.9,20.7,101.2,26
1992,NBA,CLE,54,28,2,,28.8,6-Jun,202,,82,241.8,41.8,84,0.497,3.5,9,0.381,38.3,74.9,0.511,20.7,25.8,0.802,11.3,30.4,41.8,28.6,7.5,6.5,13.7,19.3,107.7,27
1991,NBA,CLE,57,25,2,,27.6,6-Jun,202,,82,241.5,41.8,85.7,0.488,3.1,8.6,0.357,38.7,77,0.502,22.2,27.5,0.805,12.7,29.9,42.6,27.6,7.5,7.6,13.1,19,108.9,28
1990,NBA,CLE,33,49,6,,26.8,6-Jul,205,,82,241.8,39.7,83.6,0.475,2,5.8,0.334,37.8,77.8,0.486,20.3,26.5,0.765,12.3,28.4,40.7,27.3,7.8,5.5,15.6,20.4,101.7,29
1989,NBA,CLE,42,40,4,,26.1,6-Jul,201,,82,242.4,39.2,85.1,0.461,4.2,10.4,0.407,35,74.7,0.468,20,26.8,0.744,13.8,29,42.8,25.7,7.9,6.2,15.2,20.3,102.6,30
1988,NBA,CLE,57,25,2,,26.1,6-Jul,203,,82,240.9,42.3,84.2,0.502,2.1,5.8,0.359,40.2,78.4,0.513,22.2,29.7,0.747,12.6,30.2,42.8,27.6,9.6,7.1,16.1,19.4,108.8,31
1987,NBA,CLE,42,40,5,,24.6,6-Jul,205,,82,241.2,40.4,82.4,0.49,1.5,4.1,0.378,38.9,78.3,0.496,22.1,29.7,0.744,12.4,27.9,40.3,25.2,8.9,6.4,17.5,22.4,104.5,32
1986,NBA,CLE,31,51,6,,24.6,6-Jul,208,,82,240.9,40.8,86.9,0.47,1,4.1,0.24,39.9,82.7,0.482,21.7,31.1,0.697,15.3,29.5,44.8,23.3,8.2,6.8,19.7,22.6,104.4,33
1985,NBA,CLE,29,53,5,,27,6-Jun,208,,82,241.2,42.4,88.3,0.48,1.6,4.8,0.338,40.8,83.5,0.489,21.3,28.4,0.752,13.2,29.9,43.2,25.2,7.6,5.3,17.2,27.6,107.8,34
1984,NBA,CLE,36,46,4,,26.6,6-Jun,208,,82,241.2,42.3,89.8,0.471,1.2,4.1,0.287,41.1,85.7,0.48,22.8,30.4,0.749,14.7,29.8,44.5,25.6,7.6,5.8,16.9,26.5,108.6,35
1983,NBA,CLE,28,54,4,,25.4,6-Jun,207,,82,242.1,41,88.2,0.465,0.5,2,0.262,40.5,86.2,0.47,19.7,26.6,0.743,14.8,29.1,43.9,23.5,7.7,4.6,16.2,26.9,102.3,36
1982,NBA,CLE,23,59,5,,26.4,6-Jun,205,,82,240.9,39.7,85.3,0.465,0.4,1.5,0.25,39.3,83.8,0.469,17.4,24.2,0.721,14.3,29.4,43.7,21.2,7.5,3.5,18.8,27.3,97.1,37
1981,NBA,CLE,15,67,6,,26.1,6-Jun,205,,82,241.5,41.5,89.4,0.464,0.3,1.7,0.182,41.2,87.8,0.47,19.9,26.6,0.747,14.5,26.5,41,22.8,7.7,4.4,16.1,26.7,103.2,38
1980,NBA,CLE,28,54,5,,25.7,6-Jun,209,,82,241.2,43.4,92.8,0.467,0.9,3,0.289,42.5,89.8,0.473,18.1,23.3,0.778,15.3,27.4,42.7,24.5,7.7,3.9,17,24.3,105.7,39
1979,NBA,CLE,37,45,5,,27.4,6-May,204,,82,243,46.5,98.1,0.474,0.4,2.3,0.193,46,95.8,0.481,20.8,26.9,0.772,15.9,29,45,25.7,9.3,4.2,16.7,23.6,114.1,40
1978,NBA,CLE,30,52,5,,27.3,6-Jun,204,,82,240,43.4,92.7,0.468,,,,43.4,92.7,0.468,19.8,25.6,0.77,15,27.5,42.5,21.9,8.4,4.1,16.8,24.7,106.5,41
1977,NBA,CLE,43,39,3,,27.8,6-Jun,208,,82,242.4,42.6,94,0.454,,,,42.6,94,0.454,19.1,25.8,0.741,14.5,32.6,47.1,21.2,8.4,5.5,16.9,22.3,104.4,42
1976,NBA,CLE,43,39,4,,27.4,6-Jun,205,,82,241.2,42.1,93.8,0.449,,,,42.1,93.8,0.449,17.9,24.3,0.737,16,31.3,47.3,22.5,7.1,5.8,16.5,23.8,102.1,43
1975,NBA,CLE,49,33,1,,26.8,6-Jun,204,,82,241.5,42.6,94,0.454,,,,42.6,94,0.454,16.4,22.3,0.737,14.5,31.6,46.1,22.5,7.8,4.8,16.2,22.8,101.7,44
1974,NBA,CLE,40,42,3,,25.9,6-Jun,205,,82,242.4,41.6,89.9,0.462,,,,41.6,89.9,0.462,15.9,21.4,0.742,12.9,30.5,43.4,23.2,7.3,4.2,17.8,22.9,99,45
1973,NBA,CLE,29,53,4,,26.5,6-May,203,,82,240.9,41.7,94.9,0.439,,,,41.7,94.9,0.439,16.8,21.8,0.772,15.5,30.4,45.9,25,7.3,3.6,18.8,23.5,100.3,46
1972,NBA,CLE,32,50,4,,26.2,6-May,204,,82,241.8,41.8,96.1,0.435,,,,41.8,96.1,0.435,19,25.4,0.747,,,49.5,25.7,,,,23.7,102.7,47
1971,NBA,CLE,23,59,4,,24.2,6-Jun,201,,82,240.9,42.2,98.5,0.428,,,,42.2,98.5,0.428,21.4,29.1,0.736,,,50,25.1,,,,23.6,105.8,48
1970,NBA,CLE,15,67,4,,24.3,6-Jun,202,,82,240,40.2,94.9,0.424,,,,40.2,94.9,0.424,21.6,29,0.746,,,48.6,25.2,,,,25.8,102.1,49
