Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rank
2018,NBA,MIA,0,0,0,,26.8,6-Jul,221,,82,240.6,39.6,88,0.45,11.3,32.4,0.349,28.3,55.6,0.509,15.1,21.7,0.695,11.2,35.1,46.3,24.3,7.6,5.5,14.7,20.9,105.7,1
2017,NBA,MIA,44,38,1,,26.5,6-Jun,217,,82,243,38.8,85.3,0.455,11,30.6,0.36,27.8,54.8,0.508,14.7,19.5,0.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4,2
2016,NBA,MIA,41,41,3,,26.5,6-Jun,218,,82,241.2,39,85.8,0.455,9.9,27,0.365,29.2,58.8,0.496,15.2,21.6,0.706,10.6,33,43.6,21.2,7.2,5.7,13.4,20.5,103.2,3
2015,NBA,MIA,48,34,1,,28.4,6-Jul,221,,82,241.8,38.4,81.7,0.47,6.1,18,0.336,32.3,63.6,0.508,17.1,23,0.744,9.8,34.3,44.1,20.8,6.7,6.5,14.1,18.3,100,4
2014,NBA,MIA,37,45,3,,28.5,6-Jun,212,,82,240.6,35.2,77.2,0.456,6.8,20.2,0.335,28.4,57,0.499,17.5,23.7,0.741,9.1,30,39.1,19.8,7.8,4.5,14.8,20,94.7,5
2013,NBA,MIA,54,28,1,,30.6,6-Jun,215,,82,242.4,38.3,76.5,0.501,8.1,22.3,0.364,30.2,54.2,0.558,17.5,23,0.76,7.6,29.2,36.9,22.5,8.9,4.5,14.8,19.5,102.2,6
2012,NBA,MIA,66,16,1,,30.3,6-Jun,216,,82,242.4,38.4,77.4,0.496,8.7,22.1,0.396,29.6,55.4,0.536,17.4,23,0.754,8.2,30.4,38.6,23,8.7,5.4,13.9,18.7,102.9,7
2011,NBA,MIA,46,20,1,,28.3,6-Jun,221,,66,243,37.1,79,0.469,5.6,15.6,0.359,31.5,63.4,0.496,18.8,24.2,0.775,10.4,31.2,41.6,20,8.9,5.4,15.2,19.4,98.5,8
2010,NBA,MIA,58,24,1,,29,6-Jul,223,,82,241.2,37,76.8,0.481,6.7,18,0.37,30.3,58.8,0.515,21.5,27.9,0.769,9.6,32.5,42.1,20,6.6,5.2,13.9,20.4,102.1,9
2009,NBA,MIA,47,35,3,,27.1,6-Jun,217,,82,242.4,36.4,79.5,0.458,6,17.4,0.346,30.4,62.1,0.489,17.7,23.5,0.752,10.7,31.1,41.8,18.9,7.4,5.6,13.2,20.9,96.5,10
2008,NBA,MIA,43,39,3,,25.6,6-Jun,217,,82,243.4,37,81,0.457,7.1,19.9,0.357,29.9,61.2,0.489,17.2,22.8,0.754,10.1,29.4,39.5,20.4,7.9,5.5,12.5,20.7,98.3,11
2007,NBA,MIA,15,67,5,,27.4,6-Jun,216,,82,241.8,34.2,77.3,0.443,6,16.7,0.358,28.3,60.5,0.467,16.9,23.2,0.727,9.1,28.6,37.6,20,7.2,4.3,14.7,20.4,91.4,12
2006,NBA,MIA,44,38,1,,29.3,6-Jun,220,,82,242.1,35.6,76.7,0.464,6.4,18.8,0.343,29.2,57.9,0.503,17,24.6,0.69,10,30.8,40.8,20.5,6.9,5.4,14.6,21.3,94.6,13
2005,NBA,MIA,52,30,1,,29.2,6-Jun,223,,82,240.9,37.1,77.5,0.478,6.1,17.6,0.345,31,59.9,0.517,19.7,28.2,0.7,10.5,32.6,43.1,20.6,6.4,5.4,14.5,22.8,99.9,14
