Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rank
2009,NBA,LAL,57,25,1,,28.4,6-Jul,221,,82,241.8,38.3,83.8,0.457,6.5,19,0.341,31.9,64.8,0.492,18.5,24.2,0.765,11.9,32.5,44.3,21.1,7.5,4.9,13.4,19.4,101.7,10
2008,NBA,LAL,65,17,1,,27.4,6-Jul,216,,82,241.2,40.3,85.1,0.474,6.7,18.5,0.361,33.7,66.6,0.505,19.6,25.5,0.77,12.4,31.5,43.9,23.3,8.8,5.1,13.5,20.7,106.9,11
2001,NBA,LAL,58,24,2,,27.9,6-Jul,227,,82,241.2,38.4,83.4,0.461,6.2,17.5,0.354,32.2,65.9,0.489,18.2,26.1,0.699,12.5,31.8,44.3,23,7.6,5.8,12.7,22.2,101.3,18
2000,NBA,LAL,56,26,1,,29.2,6-Jul,226,,82,242.7,37.9,81.5,0.465,5.4,15.5,0.344,32.6,66,0.494,19.4,28.5,0.683,13.2,31.5,44.7,23,6.9,6,14.4,22.8,100.6,19
1999,NBA,LAL,67,15,1,,29.2,6-Jul,227,,82,241.5,38.3,83.4,0.459,4.2,12.8,0.329,34.1,70.6,0.482,20.1,28.9,0.696,13.6,33.4,47,23.4,7.5,6.5,13.9,22.5,100.8,20
1987,NBA,LAL,62,20,1,,28.9,6-Jul,211,,82,241.5,43.6,86.3,0.505,1.7,5.8,0.297,41.9,80.5,0.52,23.9,30.2,0.789,13.1,30.4,43.5,28.6,8.2,4.9,16.1,20.9,112.8,32
1986,NBA,LAL,65,17,1,,27.8,6-Jul,209,,82,240.6,45.6,88.4,0.516,2,5.5,0.367,43.6,82.9,0.526,24.5,31.1,0.789,13.7,30.7,44.4,29.6,8.9,5.9,16.6,22.6,117.8,33
1984,NBA,LAL,62,20,1,,27.4,6-Jul,208,,82,240.9,48.2,88.5,0.545,1.1,3.6,0.305,47.1,84.9,0.555,20.8,27.2,0.763,13,31.1,44.1,31.4,8.5,5.9,18.7,23.5,118.2,35
1981,NBA,LAL,57,25,1,,26.8,6-Jul,199,,82,242.1,47.8,92.5,0.517,0.2,1.1,0.138,47.6,91.4,0.521,18.9,26.4,0.717,15.3,30.5,45.9,28.7,10.3,6.3,17.9,24.4,114.6,38
1979,NBA,LAL,60,22,1,,26.2,6-Jul,202,,82,242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,45.6,29.4,9.4,6.7,20,21.8,115.1,40
1971,NBA,LAL,69,13,1,,29.5,6-May,211,,82,240.9,47.8,97.5,0.49,,,,47.8,97.5,0.49,25.4,34.5,0.734,,,56.4,27.2,,,,20,121,48
1953,NBA,MNL,46,26,1,,27.3,6-Mar,201,,72,,30.3,80.6,0.376,,,,30.3,80.6,0.376,21,28.7,0.731,,,52.1,18.4,,,,26.6,81.7,66
1952,NBA,MNL,48,22,1,,26.5,6-Mar,200,,70,,30.9,79.4,0.39,,,,30.9,79.4,0.39,23.4,31.7,0.739,,,48.7,19.3,,,,27.4,85.3,67
1951,NBA,MNL,40,26,2,,25.8,6-Apr,201,,66,,31.9,86.9,0.367,,,,31.9,86.9,0.367,21.8,29.1,0.748,,,53.7,21,,,,26.7,85.6,68
1949,NBA,MNL,51,17,1,,,,,,68,,31.5,85.8,0.367,,,,31.5,85.8,0.367,21.2,28.6,0.741,,,,20.7,,,,24.6,84.1,70
1948,BAA,MNL,44,16,2,,,,,,60,,31.4,85.8,0.366,,,,31.4,85.8,0.366,21.2,29.3,0.723,,,,18.9,,,,23.1,84,71
