Rank,Season,G,MP,FG,FGA,ThreeP,ThreePA,PTS,FGPercent,ThreePPercent,Pace,ORtg,TotalThree,TotalAttemptThree,Times,ThreeMAvgPerGame,ThreePAverage,Seasonplus
1,2018,1230,241.6,41.1,89.2,11.4,32,111.2,0.461,0.355,100,110.4,27955,78742,2010-2018,0,0,2018-19
2,2017,1230,241.4,39.6,86.1,10.5,29,106.3,0.46,0.362,97.3,108.6,25807,71337,2010-2018,860,2378,2017-18
3,2016,1230,241.6,39,85.4,9.7,27,105.6,0.457,0.358,96.4,108.8,23748,66422,2010-2018,792,2214,2016-17
4,2015,1230,241.8,38.2,84.6,8.5,24.1,102.7,0.452,0.354,95.8,106.4,20953,59241,2010-2018,698,1975,2015-16
5,2014,1230,242,37.5,83.6,7.8,22.4,100,0.449,0.35,93.9,105.6,19300,55137,2010-2018,643,1838,2014-15
6,2013,1230,242,37.7,83,7.7,21.5,101,0.454,0.36,93.9,106.6,19054,52974,2010-2018,635,1766,2013-14
7,2012,1229,241.9,37.1,82,7.2,20,98.1,0.453,0.359,92,105.8,17603,49067,2010-2018,587,1636,2012-13
8,2011,990,241.9,36.5,81.4,6.4,18.4,96.3,0.448,0.349,91.3,104.6,12693,36395,2010-2018,423,1213,2011-12
9,2010,1230,241.9,37.2,81.2,6.5,18,99.6,0.459,0.358,92.1,107.3,15886,44313,2010-2018,530,1477,2010-11
10,2009,1230,241.7,37.7,81.7,6.4,18.1,100.4,0.461,0.355,92.7,107.6,15822,44622,2001-2009,527,1487,2009-10
11,2008,1230,241.7,37.1,80.9,6.6,18.1,100,0.459,0.367,91.7,108.3,16352,44583,2001-2009,545,1486,2008-09
12,2007,1230,241.5,37.3,81.5,6.6,18.1,99.9,0.457,0.362,92.4,107.5,16124,42092,2001-2009,537,1485,2007-08
13,2006,1230,242.2,36.5,79.7,6.1,16.9,98.7,0.458,0.358,91.9,106.5,14926,41672,2001-2009,498,1389,2006-07
14,2005,1230,242.1,35.8,79,5.7,16,97,0.454,0.358,90.5,106.2,14086,39313,2001-2009,470,1310,2005-06
15,2004,1230,241.9,35.9,80.3,5.6,15.8,97.2,0.447,0.356,90.9,106.1,13777,38748,2001-2009,459,1292,2004-05
16,2003,1189,241.7,35,79.8,5.2,14.9,93.4,0.439,0.347,90.1,102.9,12321,35492,2001-2009,425,1224,2003-04
17,2002,1189,242,35.7,80.8,5.1,14.7,95.1,0.442,0.349,91,103.6,12200,34912,2001-2009,421,1204,2002-03
18,2001,1189,241.7,36.2,81.3,5.2,14.7,95.5,0.445,0.354,90.7,104.5,12402,35074,2001-2009,428,1209,2001-02
19,2000,1189,242,35.7,80.6,4.8,13.7,94.8,0.443,0.354,91.3,103,11524,32597,2001-2009,397,1124,2000-01
20,1999,1189,241.5,36.8,82.1,4.8,13.7,97.5,0.449,0.353,93.1,104.1,11513,32614,1991-2000,397,1125,1999-00
21,1998,725,241.8,34.2,78.2,4.5,13.2,91.6,0.437,0.339,88.9,102.2,6463,19080,1991-2000,223,658,1998-99
22,1997,1189,241.9,35.9,79.7,4.4,12.7,95.6,0.45,0.346,90.3,105,10450,30231,1991-2000,360,1042,1997-98
23,1996,1189,241.9,36.1,79.3,6,16.8,96.9,0.455,0.36,90.1,106.7,14383,39943,1991-2000,496,1377,1996-97
24,1995,1189,241.6,37,80.2,5.9,16,99.5,0.462,0.367,91.8,107.6,14000,38161,1991-2000,483,1316,1995-96
25,1994,1107,241.9,38,81.5,5.5,15.3,101.4,0.466,0.359,92.9,108.3,12153,33889,1991-2000,450,1255,1994-95
26,1993,1107,241.1,39.3,84.4,3.3,9.9,101.5,0.466,0.333,95.1,106.3,7301,21907,1991-2000,270,811,1993-94
27,1992,1107,241.7,40.7,86,3,9,105.3,0.473,0.336,96.8,108,6668,19824,1991-2000,247,734,1992-93
28,1991,1107,241.8,41.3,87.3,2.5,7.6,105.3,0.472,0.331,96.6,108.2,5587,16898,1991-2000,207,626,1991-92
29,1990,1107,241.8,41.4,87.2,2.3,7.1,106.3,0.474,0.32,97.8,107.9,5055,15812,1991-2000,187,586,1990-91
30,1989,1107,241.5,41.5,87.2,2.2,6.6,107,0.476,0.331,98.3,108.1,4829,14608,1979-1990,179,541,1989-90
31,1988,1025,241.5,42.5,89,2.1,6.6,109.2,0.477,0.323,100.6,107.8,4332,13431,1979-1990,173,537,1988-89
32,1987,943,241.3,42.1,87.7,1.6,5,108.2,0.48,0.316,99.6,108,2979,9421,1979-1990,130,410,1987-88
33,1986,943,241.6,42.6,88.8,1.4,4.7,109.9,0.48,0.301,100.8,108.3,2687,8913,1979-1990,117,388,1986-87
34,1985,943,241.6,43.2,88.6,0.9,3.3,110.2,0.487,0.282,102.1,107.2,1774,6293,1979-1990,77,274,1985-86
35,1984,943,241.4,43.8,89.1,0.9,3.1,110.8,0.491,0.282,102.1,107.9,1671,5917,1979-1990,73,257,1984-85
36,1983,943,242,43.5,88.4,0.6,2.4,110.1,0.492,0.25,101.4,107.6,1120,4484,1979-1990,49,195,1983-84
37,1982,943,241.3,43.5,89.7,0.5,2.3,108.5,0.485,0.238,103.1,104.7,1011,4248,1979-1990,44,185,1982-83
38,1981,943,241.6,43.3,88.2,0.6,2.3,108.6,0.491,0.262,100.9,106.9,1129,4308,1979-1990,49,187,1981-82
39,1980,943,241.4,43,88.4,0.5,2,108.1,0.486,0.245,101.8,105.5,936,3815,1979-1990,41,166,1980-81
40,1979,902,241.8,43.6,90.6,0.8,2.8,109.3,0.481,0.28,103.1,105.3,1403,5003,1979-1990,64,227,1979-80
