Rk	Player	Pos	G	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	PTS	Season
1	Alex Abrines\\abrinal01	SG	75	115	291	0.395	84	221	0.38	31	70	0.443	0.54	353	2018
2	Quincy Acy\\acyqu01	PF	70	130	365	0.356	102	292	0.349	28	73	0.384	0.496	411	2018
3	Steven Adams\\adamsst01	C	76	448	712	0.629	0	2	0	448	710	0.631	0.629	1056	2018
4	Bam Adebayo\\adebaba01	C	69	174	340	0.512	0	7	0	174	333	0.523	0.512	477	2018
5	Arron Afflalo\\afflaar01	SG	53	65	162	0.401	27	70	0.386	38	92	0.413	0.485	179	2018
6	Cole Aldrich\\aldrico01	C	21	5	15	0.333	0	0		5	15	0.333	0.333	12	2018
7	LaMarcus Aldridge\\aldrila01	C	75	687	1347	0.51	27	92	0.293	660	1255	0.526	0.52	1735	2018
8	Jarrett Allen\\allenja01	C	72	234	397	0.589	5	15	0.333	229	382	0.599	0.596	587	2018
9	Kadeem Allen\\allenka01	PG	18	6	22	0.273	0	11	0	6	11	0.545	0.273	19	2018
10	Tony Allen\\allento01	SF	22	44	91	0.484	4	12	0.333	40	79	0.506	0.505	103	2018
11	Al-Farouq Aminu\\aminual01	PF	69	230	582	0.395	125	339	0.369	105	243	0.432	0.503	644	2018
12	Justin Anderson\\anderju01	SF	38	87	202	0.431	34	103	0.33	53	99	0.535	0.515	236	2018
13	Kyle Anderson\\anderky01	SF	74	231	438	0.527	19	57	0.333	212	381	0.556	0.549	585	2018
14	Ryan Anderson\\anderry01	PF	66	207	480	0.431	131	339	0.386	76	141	0.539	0.568	617	2018
15	Ike Anigbogu\\anigbik01	C	11	4	9	0.444	0	0		4	9	0.444	0.444	13	2018
16	Giannis Antetokounmpo\\antetgi01	PF	75	742	1402	0.529	43	140	0.307	699	1262	0.554	0.545	2014	2018
17	Carmelo Anthony\\anthoca01	PF	78	472	1168	0.404	169	474	0.357	303	694	0.437	0.476	1261	2018
18	OG Anunoby\\anunoog01	SF	74	163	346	0.471	73	197	0.371	90	149	0.604	0.577	438	2018
19	Ryan Arcidiacono\\arcidry01	PG	24	17	41	0.415	9	31	0.29	8	10	0.8	0.524	48	2018
