Player,Season,Season Type,Team,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,Pos
James Harden,2017-2018,REG,Rockets,60,35.56,30.92,0.53,4.6,5.13,8.68,1.85,0.7,4.33,2.43,9.15,20.28,0.451,3.9,10.4,0.375,8.72,10.03,0.869,SF
Anthony Davis,2017-2018,REG,Pelicans,59,36.46,27.78,2.58,8.46,11.03,2.31,1.51,2.47,2.2,2.19,10.2,19.32,0.528,0.76,2.25,0.338,6.61,7.9,0.837,PF
Giannis Antetokounmpo,2017-2018,REG,Bucks,64,37.18,27.28,2.11,8,10.11,4.77,1.45,1.42,2.92,3.08,10.02,18.88,0.531,0.53,1.77,0.301,6.72,8.89,0.756,SF
LeBron James,2017-2018,REG,Cavaliers,68,37.04,27.01,1.13,7.43,8.56,8.96,1.54,0.97,4.28,1.66,10.35,19.03,0.544,1.81,4.88,0.37,4.5,6.19,0.727,SG
Damian Lillard,2017-2018,REG,Trail Blazers,61,36.52,26.82,0.72,3.74,4.46,6.56,1,0.38,3.05,1.64,8.54,19.21,0.445,3.21,8.49,0.378,6.52,7.18,0.909,SG
Kevin Durant,2017-2018,REG,Warriors,59,34.59,26.64,0.51,6.25,6.76,5.41,0.75,1.81,3.08,2,9.37,17.98,0.521,2.61,6.08,0.429,5.29,5.97,0.886,SG
Stephen Curry,2017-2018,REG,Warriors,48,31.92,26.19,0.73,4.42,5.15,6.15,1.63,0.15,3.1,2.27,8.33,16.71,0.499,4.19,9.73,0.43,5.33,5.83,0.914,PF
Russell Westbrook,2017-2018,REG,Thunder,68,36.17,25.29,1.78,7.85,9.63,10.16,1.81,0.25,4.72,2.35,9.49,21.18,0.448,1.19,4.18,0.285,5.13,6.99,0.735,PF
DeMarcus Cousins,2017-2018,REG,Pelicans,46,36.38,25.22,2.17,10.83,13,5.39,1.63,1.52,4.98,3.76,8.48,18.04,0.47,2.15,6.13,0.351,6.11,8.15,0.749,SF
Devin Booker,2017-2018,REG,Suns,54,34.54,24.91,0.46,4.02,4.48,4.69,0.87,0.26,3.59,3.11,8.43,19.52,0.432,2.72,7.11,0.383,5.33,6.07,0.878,PG
