Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rank
2018,NBA,DAL,0,0,0,,26.8,6-Jul,220,,82,241.2,38.8,86.9,0.447,12.5,36.6,0.34,26.3,50.2,0.524,18.8,25.3,0.742,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9,1
2017,NBA,DAL,24,58,4,,27.7,6-Jun,213,,82,241.5,38.1,85.9,0.444,11.8,32.8,0.36,26.4,53.1,0.496,14.2,18.7,0.763,8.1,33.1,41.3,22.7,7,3.8,12.3,19.2,102.3,2
2016,NBA,DAL,33,49,5,,27.6,6-Jun,214,,82,241.2,36.2,82.3,0.44,10.7,30.2,0.355,25.5,52.2,0.489,14.8,18.5,0.801,7.9,30.7,38.6,20.8,7.5,3.7,11.9,19.1,97.9,3
2015,NBA,DAL,42,40,2,,30.3,6-Jun,223,,82,244,37.4,84.1,0.444,9.8,28.6,0.344,27.5,55.6,0.495,17.7,22.3,0.794,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5,102.3,4
2014,NBA,DAL,50,32,4,,29.9,6-Jun,207,,82,242.4,39.7,85.8,0.463,8.9,25.4,0.352,30.8,60.4,0.509,16.9,22.5,0.752,10.5,31.8,42.3,22.5,8.1,4.5,13,20,105.2,5
2013,NBA,DAL,49,33,4,,30.6,6-Jun,216,,82,241.8,39.6,83.6,0.474,8.8,22.9,0.384,30.8,60.7,0.508,16.8,21.1,0.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20,104.8,6
2012,NBA,DAL,41,41,4,,29.5,6-Jun,218,,82,243.7,38.8,84,0.462,7.4,19.9,0.372,31.4,64.2,0.489,16.1,20.4,0.793,9.4,32.6,41.9,23.2,7.9,5.5,14,20.7,101.1,7
2011,NBA,DAL,36,30,3,,31.3,6-Jun,213,,66,243.4,36.3,82,0.443,7.5,22.2,0.339,28.8,59.8,0.482,15.6,20.2,0.771,10.1,32.7,42.8,20.9,8.6,5.1,14,18.6,95.8,8
2010,NBA,DAL,57,25,2,,30.9,6-Jun,214,,82,240.3,37.4,78.8,0.475,7.9,21.6,0.365,29.6,57.3,0.516,17.5,22.6,0.777,9.5,31.9,41.4,23.8,6.8,4.3,14,19.2,100.2,9
2009,NBA,DAL,55,27,1,,30.7,6-Jun,214,,82,242.4,38.3,82.4,0.464,6.8,18.3,0.372,31.5,64.2,0.491,18.6,22.8,0.816,10.2,31.5,41.7,23.4,7.6,5.5,12.9,19.1,102,10
