Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rank
2018,NBA,DET,0,0,0,,26.9,6-Jun,226,,82,242.1,38.8,88.3,0.44,12.1,34.8,0.348,26.7,53.5,0.5,17.3,23.1,0.747,11.4,33.6,45,22.5,6.9,4,13.8,22.1,107,1
2017,NBA,DET,39,43,4,,25.9,6-Jun,224,,82,241.5,39.1,86.9,0.45,10.8,28.9,0.373,28.3,58,0.488,14.7,19.8,0.745,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8,2
2016,NBA,DET,37,45,5,,25.4,6-Jul,229,,82,241.5,39.9,88.8,0.449,7.7,23.4,0.33,32.2,65.5,0.492,13.9,19.3,0.719,11.1,34.6,45.7,21.1,7,3.8,11.9,17.9,101.3,3
2015,NBA,DET,44,38,3,,25,6-Jul,230,,82,242.4,37.9,86.4,0.439,9,26.2,0.345,28.9,60.2,0.48,17.1,25.5,0.668,12.5,33.9,46.3,19.4,7,3.7,13.5,19,102,4
2014,NBA,DET,32,50,5,,25.9,6-Jun,222,,82,241.8,37.1,85.8,0.432,8.6,24.9,0.344,28.5,60.9,0.468,15.8,22.4,0.703,12.8,32.1,44.9,21.6,7.6,4.7,13.4,19,98.5,5
2013,NBA,DET,29,53,4,,24.7,6-Jun,222,,82,241.2,38.8,86.9,0.447,6.2,19.3,0.321,32.6,67.6,0.483,17.3,25.7,0.67,14.6,30.8,45.4,20.9,8.4,4.8,14.5,20.3,101,6
2012,NBA,DET,29,53,4,,25.3,6-Jul,225,,82,241.5,36.3,81,0.449,6.3,17.6,0.356,30.1,63.4,0.474,15.9,22.8,0.699,12.1,30,42.1,21.2,7,4.9,15.1,19.8,94.9,7
2011,NBA,DET,25,41,4,,26.3,6-Jun,220,,66,241.9,34.7,79.3,0.438,4.8,13.9,0.346,29.9,65.4,0.457,16.6,22.1,0.752,11.7,28.5,40.3,18.7,7,4.2,15.7,19.6,90.9,8
2010,NBA,DET,30,52,4,,27.2,6-Jul,217,,82,242.4,37.3,81.1,0.46,5.8,15.3,0.376,31.5,65.7,0.479,16.7,22.6,0.737,11.4,27.3,38.6,21.1,7.3,4,13,19.9,97,9
2009,NBA,DET,27,55,5,,26.7,6-Jul,218,,82,241.2,35.9,80.5,0.445,4.6,14.5,0.314,31.3,66,0.474,17.7,24.4,0.728,12.8,27.3,40.2,19.4,7.3,3.8,13.4,22.2,94,10
2008,NBA,DET,39,43,3,,28.2,6-Jun,212,,82,242.7,36.4,80,0.454,4.6,13.2,0.349,31.8,66.8,0.475,16.9,22.5,0.751,11.6,29.9,41.4,20.6,6,4.6,11.9,20.9,94.2,11
2007,NBA,DET,59,23,1,,28.3,6-Jul,214,,82,240.6,36.6,79.9,0.458,5.9,16.2,0.366,30.6,63.7,0.481,18.4,24,0.767,11.9,29.5,41.4,22.3,7.1,5.8,11.7,20.6,97.5,12
2006,NBA,DET,53,29,1,,29,6-Jul,213,,82,242.4,35.9,79.1,0.454,5.5,15.9,0.344,30.4,63.2,0.481,18.8,24.2,0.774,11.6,29,40.5,21.6,7.1,5.8,12.2,20.4,96,13
2005,NBA,DET,64,18,1,,28.5,6-Jul,214,,82,241.8,36.4,80,0.455,6.8,17.7,0.384,29.6,62.3,0.475,17.3,23.8,0.727,11.9,28.6,40.5,24,7.1,6,11.4,18.5,96.8,14
2004,NBA,DET,54,28,1,,27.9,6-Jul,211,,82,243.4,34.8,78.3,0.444,4.4,12.8,0.345,30.3,65.5,0.463,19.4,26.2,0.739,12.9,30.6,43.4,21.8,7,6.1,13.8,20,93.3,15
2003,NBA,DET,54,28,2,,27.4,6-Jun,214,,82,241.2,33.5,77,0.435,4.1,11.8,0.344,29.4,65.2,0.452,19,25.3,0.753,12.4,30.4,42.8,20.8,8,7,15.1,20.3,90.1,16
2002,NBA,DET,50,32,1,,29,6-Jun,215,,82,242.7,32.9,76.5,0.43,6.5,18.1,0.358,26.4,58.4,0.452,19,24.6,0.771,10.8,29.8,40.6,19.8,6.8,5.7,13.5,21.3,91.4,17
2001,NBA,DET,50,32,1,,29.5,6-Jun,214,,82,240,34.7,76.8,0.452,6.9,18.4,0.376,27.8,58.4,0.475,18,23.8,0.756,9.9,28.9,38.7,21.5,7.9,6.9,14.5,20.7,94.3,18
2000,NBA,DET,32,50,5,,27.1,6-Jun,213,,82,242.1,35.6,83.9,0.424,4.7,13.6,0.35,30.9,70.3,0.439,19.6,27.2,0.721,13.5,32,45.5,19.9,7.5,5.5,15.9,23.8,95.6,19
1999,NBA,DET,42,40,4,,28.3,6-Jun,213,,82,241.8,37.1,80.9,0.459,5.4,14.9,0.359,31.8,66,0.481,23.9,30.6,0.781,11.2,30,41.2,20.8,8.1,3.3,15.7,24.5,103.5,20
1998,NBA,DET,29,21,3,,27.7,6-Jun,215,,50,241,33.2,74.3,0.447,5,13.6,0.365,28.2,60.7,0.465,19,25.7,0.74,12.1,28.2,40.3,20.2,8.9,4.2,15.8,22.8,90.4,21
1997,NBA,DET,37,45,6,,27.2,6-Jun,213,,82,243.4,34.9,77.7,0.449,3.6,11.4,0.312,31.3,66.3,0.473,20.8,27.9,0.745,12.7,28.5,41.2,19.5,8.3,4.2,14.6,22,94.2,22
1996,NBA,DET,54,28,3,,28.2,6-Jun,210,,82,241.8,34.5,74.3,0.464,7.1,18.3,0.388,27.4,56,0.488,18.1,24.3,0.745,10.5,28,38.4,19,7.7,3.5,12.7,20.1,94.2,23
1995,NBA,DET,46,36,5,,26.8,6-Jun,212,,82,241.8,34.3,74.7,0.459,6.6,16.5,0.404,27.6,58.2,0.475,20.2,26.9,0.751,10.8,29.8,40.5,19.6,6.2,4.3,14.8,23.8,95.4,24
