Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rank
2018,NBA,SAC,0,0,0,,24.7,6-Jun,214,,82,240.6,43.2,93.1,0.464,11.3,29.9,0.378,31.9,63.2,0.504,16.5,22.7,0.726,11,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2,1
2017,NBA,SAC,27,55,4,,26.3,6-Jun,214,,82,240.9,38.8,86.1,0.45,9,24,0.375,29.8,62.1,0.479,12.3,16.7,0.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20,98.8,2
2016,NBA,SAC,32,50,3,,27.8,6-Jun,220,,82,242.4,37.9,82.1,0.461,9,23.9,0.376,28.9,58.2,0.496,18.1,23.3,0.775,8.7,32.3,41.1,22.5,7.6,4,14.6,20.3,102.8,3
2015,NBA,SAC,33,49,3,,26.6,6-Jun,220,,82,241.5,40,86.4,0.464,8,22.4,0.359,32,64,0.5,18.5,25.5,0.725,10.6,33.7,44.2,24.5,8.9,4.5,16.2,20.4,106.6,4
2014,NBA,SAC,29,53,4,,26,6-Jul,221,,82,242.1,36.7,80.7,0.455,5.6,16.5,0.341,31.1,64.2,0.484,22.3,29.3,0.762,10.9,33.3,44.2,20.3,6.7,4,16.3,20.7,101.3,5
2013,NBA,SAC,28,54,4,,24.9,6-Jun,223,,82,241.8,36.9,82.5,0.447,6,18,0.333,30.9,64.5,0.479,20.7,27.3,0.759,12.1,32.4,44.5,18.9,7.2,3.9,15.2,22.5,100.5,6
2012,NBA,SAC,28,54,4,,25.6,6-Jun,221,,82,241.8,37.6,84.2,0.447,7.4,20.5,0.363,30.2,63.7,0.474,17.5,22.8,0.769,11.5,29.1,40.6,20.8,8.2,4.2,14.6,20.9,100.2,7
2011,NBA,SAC,22,44,5,,24.3,6-Jun,222,,66,241.1,37.7,86.5,0.436,6.2,19.7,0.316,31.5,66.8,0.471,17.1,23.2,0.736,13.4,29.5,42.9,19.3,8.5,4.9,14.4,19.5,98.8,8
2010,NBA,SAC,24,58,5,,24.8,6-Jul,227,,82,242.1,38.2,85.1,0.449,5.2,15.6,0.335,33,69.5,0.475,17.7,24.2,0.734,13.1,30.8,43.9,20.4,7.4,4.8,16.1,22,99.4,9
2009,NBA,SAC,25,57,5,,24.1,6-Jul,226,,82,242.4,38.3,84.1,0.456,5.9,16.9,0.349,32.5,67.2,0.483,17.4,24,0.726,11.9,30.7,42.6,20.5,6.9,4.5,15,22.3,100,10
2008,NBA,SAC,17,65,5,,26.3,6-Jul,216,,82,242.7,36.5,81.5,0.447,7.1,19.4,0.368,29.3,62.1,0.472,20.5,25.7,0.798,10.2,28.9,39.1,19.7,6.9,4.3,15.4,23.3,100.6,11
2007,NBA,SAC,38,44,4,,27.3,6-Jul,216,,82,241.8,37.1,80,0.464,6.2,16.7,0.373,30.9,63.3,0.488,22.1,27.7,0.798,10.1,30,40.1,19.1,7.9,4.1,16.1,22.4,102.5,12
2006,NBA,SAC,33,49,5,,27.3,6-Jun,217,,82,241.5,35.9,79.7,0.45,6.5,18.5,0.35,29.4,61.2,0.48,23.1,30.2,0.765,9.7,29.2,38.9,20.3,8.2,3.2,14.6,21.9,101.3,13
2005,NBA,SAC,44,38,4,,27.2,6-Jun,220,,82,241.8,36,79.3,0.454,6,17.2,0.351,30,62.1,0.483,20.8,26.5,0.784,10.4,30.2,40.5,22.3,7.4,3.6,14.6,20.4,98.9,14
2004,NBA,SAC,50,32,2,,27.7,6-Jun,222,,82,242.1,39.1,85.1,0.459,6.4,17,0.374,32.7,68.1,0.48,19.2,24.4,0.787,12.5,29.9,42.4,24.5,8.2,3.9,13.1,20.5,103.7,15
2003,NBA,SAC,55,27,2,,29.3,6-Jul,218,,82,241.2,37.8,81.8,0.462,7.3,18.3,0.401,30.5,63.6,0.48,19.8,24.9,0.795,10.8,30.4,41.2,26.2,8.7,4,13.9,19.3,102.8,16
2002,NBA,SAC,59,23,1,,28.3,6-Jul,217,,82,241.8,39.5,85.2,0.464,6,15.7,0.381,33.5,69.5,0.482,16.7,22.3,0.746,11,33.5,44.5,24.8,9,5.6,14.5,20.3,101.7,17
2001,NBA,SAC,61,21,1,,27,6-Jul,220,,82,240.9,39.8,85.4,0.467,5.2,14.1,0.367,34.6,71.3,0.486,19.7,26.3,0.751,12.4,33,45.3,23.9,9,4.6,13.8,19,104.6,18
2000,NBA,SAC,55,27,2,,27.1,6-Jul,219,,82,244.9,38.2,85,0.449,5.8,16.5,0.354,32.4,68.5,0.472,19.5,25.3,0.771,12,33,45,22.6,9.7,5.3,14.9,19.5,101.7,19
1999,NBA,SAC,44,38,5,,27.5,6-Jun,221,,82,241.5,40,88.9,0.45,6.5,20.2,0.322,33.4,68.7,0.487,18.5,24.6,0.754,12.9,32.1,45,23.8,9.6,4.6,16.2,21.1,105,20
1998,NBA,SAC,27,23,4,,26.1,6-Jul,222,,50,244,38.4,86.1,0.445,5.8,18.9,0.308,32.6,67.3,0.484,17.7,25.9,0.683,14.1,31.5,45.6,22.6,8.9,4.6,16.8,20.3,100.2,21
1997,NBA,SAC,27,55,5,,26.6,6-Jun,216,,82,240.6,36.1,81.5,0.442,3.5,9.8,0.351,32.6,71.7,0.455,17.6,25.6,0.687,13.3,28.1,41.4,22.4,7.3,5.1,15.5,22.1,93.1,22
1996,NBA,SAC,34,48,6,,27.4,6-Jun,211,,82,242.1,36.6,80.6,0.454,5,12.9,0.391,31.5,67.7,0.466,18.2,25.2,0.723,13.4,28.1,41.5,21.9,7.2,4.4,16.2,23.7,96.4,23
1995,NBA,SAC,39,43,5,,26.6,6-Jun,213,,82,240.9,36.2,79.2,0.457,5.6,14.6,0.387,30.6,64.6,0.473,21.5,29.4,0.731,13.6,28.6,42.2,22.3,7.8,5.3,17.6,26,99.5,24
1994,NBA,SAC,39,43,5,,26.4,6-May,209,,82,242.1,36.9,78.8,0.468,4.4,12.6,0.346,32.5,66.2,0.491,20.1,28.3,0.711,13.1,28.4,41.4,22.2,7.9,5.6,17.7,24.9,98.2,25
1993,NBA,SAC,28,54,6,,26.7,6-May,207,,82,240.9,38.8,85.7,0.452,3.1,8.9,0.353,35.6,76.8,0.464,20.4,28,0.731,13.7,28.6,42.3,24.7,8.2,4.3,16.3,24.1,101.1,26
1992,NBA,SAC,25,57,7,,26.5,6-May,205,,82,241.2,41,88.6,0.463,3.2,9.6,0.332,37.8,79,0.478,22.7,29.8,0.762,13.9,27.8,41.7,25.3,9.4,4.2,16.6,25.4,107.9,27
1991,NBA,SAC,29,53,7,,25.1,6-May,207,,82,241.8,40.8,87.7,0.466,2.9,8.2,0.353,37.9,79.4,0.477,19.7,26.4,0.747,12.9,28.7,41.6,23.9,8.9,7.5,16.6,21.5,104.3,28
1990,NBA,SAC,25,57,7,,25.9,6-Jun,208,,82,240.3,37.6,83.1,0.453,2.6,7,0.374,35,76.1,0.46,18.8,25.7,0.732,12.5,27,39.6,24.3,7.7,6.3,15.5,25.3,96.7,29
1989,NBA,SAC,23,59,7,,26.4,6-Jun,209,,82,240.9,40.3,86,0.468,2.6,7.9,0.333,37.7,78.1,0.482,18.5,24,0.771,11.6,28.8,40.4,25,6.7,4.8,15.1,22.7,101.7,30
1988,NBA,SAC,27,55,6,,25.2,6-Jul,208,,82,241.2,41,89.6,0.457,3.7,10,0.373,37.3,79.6,0.468,19.8,25.7,0.77,13.9,29.9,43.8,24,7.6,5,16.7,22.9,105.5,31
1987,NBA,SAC,24,58,6,,26.1,6-Jul,209,,82,241.2,42.2,89.5,0.471,1.8,5.5,0.32,40.4,84,0.481,21.9,28.3,0.772,15,30,45,25.8,7.1,6,17.8,23.1,108,32
1986,NBA,SAC,29,53,5,,26.3,6-Jul,217,,82,241.2,43,90.4,0.475,0.9,3.7,0.251,42,86.7,0.485,24.1,30.2,0.796,15.6,29.8,45.4,26.6,6.3,4.8,17.1,24.5,110.9,33
1985,NBA,SAC,37,45,5,,26.6,6-Jul,212,,82,241.2,43.1,88,0.49,0.4,1.6,0.224,42.8,86.4,0.495,22.2,28.5,0.778,13.8,29,42.8,28.1,7.3,4.7,18.7,26,108.8,34
1984,NBA,KCK,31,51,6,,26.1,6-Jun,209,,82,240.9,44.7,88.7,0.504,0.8,2.9,0.265,43.9,85.8,0.512,24.7,31.6,0.779,14.2,28.4,42.6,28.6,8.1,3.7,19.4,26.5,114.8,35
1983,NBA,KCK,38,44,4,,26.2,6-Jun,209,,82,240.9,42.9,88.2,0.486,0.6,2.3,0.275,42.2,85.9,0.492,23.6,30.4,0.777,14,27.7,41.7,27.2,8.7,4.7,18.3,26.8,110,36
1982,NBA,KCK,45,37,3,,24.5,6-Jun,208,,82,241.2,45.4,91.3,0.497,0.6,2.6,0.237,44.7,88.7,0.505,22.4,30.9,0.727,15.3,29.4,44.7,26.3,9.3,5,20.6,29.7,113.8,37
1981,NBA,KCK,30,52,4,,24,6-Jun,208,,82,242.4,44,88.8,0.495,0.3,1.6,0.2,43.6,87.2,0.5,18.9,26.3,0.719,13.2,27.8,41,25.1,9.1,4.9,18.4,28.8,107.1,38
1980,NBA,KCK,40,42,2,,26.2,6-Jun,210,,82,241.8,43.6,87.2,0.5,0.6,2,0.292,43,85.2,0.505,19.2,26.9,0.714,12.6,29.9,42.5,27.7,8.8,4.7,17.7,25.5,106.9,39
1979,NBA,KCK,47,35,2,,25.5,6-May,206,,82,241.5,43.7,91.3,0.478,0.3,1.4,0.219,43.4,89.9,0.482,20.4,27.4,0.743,14.5,29.6,44.1,25.9,10.5,4.3,17.5,26,108,40
1978,NBA,KCK,48,34,1,,25.7,6-Jun,204,,82,242.1,45.9,93.2,0.492,,,,45.9,93.2,0.492,21.3,29.2,0.73,14.5,29.3,43.8,27.3,10.1,4.8,19.9,29.5,113.1,41
1977,NBA,KCK,31,51,5,,26.1,6-Jun,208,,82,241.8,43.9,94.3,0.466,,,,43.9,94.3,0.466,21.6,27.6,0.785,14.7,32.1,46.8,24.3,9.7,4.5,20.6,27.2,109.5,42
1976,NBA,KCK,40,42,4,,25.9,6-Jun,209,,82,241.8,43.4,94.3,0.46,,,,43.4,94.3,0.46,20.8,26.1,0.797,14.9,31.6,46.5,24.2,10.4,4.7,19.2,26.5,107.7,43
1975,NBA,KCK,31,51,3,,26.2,6-May,201,,82,240.9,40.7,90,0.453,,,,40.7,90,0.453,21.9,28.5,0.767,13.8,32.5,46.4,22.7,9.2,4,19.6,25.1,103.3,44
1974,NBA,KCO,44,38,2,,25.5,6-Jun,198,,82,240.6,39.7,88.5,0.449,,,,39.7,88.5,0.449,21.9,26.7,0.821,12.1,33.5,45.6,22.6,8.8,4.2,18.8,24,101.4,45
1973,NBA,KCO,33,49,4,,26.7,6-Jun,202,,82,240.3,41.1,89.5,0.459,,,,41.1,89.5,0.459,19.9,25.7,0.774,13.6,31.1,44.7,21.3,9.7,4.7,21.8,23.4,102,46
1972,NBA,KCO,36,46,4,,26.3,6-May,197,,82,241.2,44.2,92.5,0.478,,,,44.2,92.5,0.478,19.3,24.8,0.776,,,44.2,25.8,,,,25,107.6,47
1971,NBA,CIN,30,52,3,,25.7,6-May,199,,82,241.2,42,91.4,0.459,,,,42,91.4,0.459,23.8,31.4,0.756,,,45.8,24.6,,,,25.4,107.8,48
1970,NBA,CIN,33,49,3,,25.7,6-Apr,195,,82,241.8,46.4,102.1,0.454,,,,46.4,102.1,0.454,23.2,32,0.725,,,50.6,24.7,,,,25.9,116,49
1969,NBA,CIN,36,46,5,,27.6,6-May,202,,82,242.4,45.9,100.9,0.455,,,,45.9,100.9,0.455,25.4,34.6,0.733,,,50.8,24.3,,,,27,117.3,50
