Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rank
2018,NBA,NYK,0,0,0,,23.4,6-Jul,219,,82,241.2,38.2,88.3,0.433,10,29.5,0.34,28.2,58.8,0.479,18.1,23.9,0.759,10.5,34.3,44.7,20.1,6.8,5.1,14,20.9,104.6,1
2017,NBA,NYK,29,53,4,,26.3,6-Jul,219,,82,241.8,40.7,87.7,0.464,8.2,23.3,0.352,32.5,64.4,0.504,14.9,19,0.787,10.5,33.6,44,23.3,6.7,5.1,14.7,20.5,104.5,2
2016,NBA,NYK,31,51,3,,27.3,6-Jul,216,,82,242.1,39.6,88.5,0.447,8.6,24.7,0.348,31,63.8,0.485,16.6,21.1,0.788,12,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3,3
2015,NBA,NYK,32,50,3,,27.2,6-Jul,226,,82,241.5,36.9,84,0.439,7.4,21.5,0.346,29.4,62.5,0.471,17.2,21.4,0.805,10.4,34,44.4,20.5,5.7,5.7,13.4,19.7,98.4,4
2014,NBA,NYK,17,65,5,,26.9,6-Jun,217,,82,242.1,35.1,82,0.428,6.8,19.7,0.347,28.3,62.3,0.454,14.8,19.2,0.769,10.6,29.8,40.4,21.3,7,4.7,14.7,21.6,91.9,5
2013,NBA,NYK,37,45,3,,28.3,6-Jun,219,,82,242.1,36.9,82.2,0.449,9.3,24.9,0.372,27.7,57.3,0.482,15.5,20.4,0.761,10.6,29.7,40.3,20,7.7,4.5,13,22.1,98.6,6
2012,NBA,NYK,54,28,1,,30.2,6-Jun,218,,82,240.6,36.5,81.6,0.448,10.9,28.9,0.376,25.7,52.7,0.487,16,21.1,0.759,10.9,29.7,40.6,19.3,8.2,3.6,12,20.1,100,7
2011,NBA,NYK,36,30,2,,26.3,6-Jul,222,,66,241.5,35.8,80.8,0.443,7.8,23.3,0.336,28,57.5,0.487,18.3,24.8,0.741,11.3,30.5,41.7,20.1,9.4,4.2,16,21.1,97.8,8
2010,NBA,NYK,42,40,2,,25.3,6-Jul,220,,82,241.2,38.3,83.7,0.457,9.3,25.4,0.368,29,58.4,0.496,20.6,25.5,0.809,10.3,30.1,40.5,21.4,7.6,5.8,13.7,21.3,106.5,9
2009,NBA,NYK,29,53,3,,25.4,6-Jul,217,,82,242.4,38.1,83.9,0.455,9.1,26.2,0.346,29.1,57.7,0.504,16.8,21.5,0.782,10.2,30.2,40.4,21.6,7.1,3.7,14,20,102.1,10
2008,NBA,NYK,32,50,5,,25.7,6-Jun,216,,82,241.5,38.5,86.5,0.445,10,27.9,0.36,28.5,58.6,0.486,18.2,23.2,0.784,11.1,31,42.1,21.2,7.4,2.5,14.3,20.4,105.2,11
2007,NBA,NYK,23,59,5,,25.7,6-Jun,223,,82,242.4,36.2,82.4,0.439,6,17.7,0.337,30.2,64.7,0.467,18.6,25.5,0.727,12.5,30,42.5,18.7,6.4,2.6,14.5,21.5,96.9,12
2006,NBA,NYK,33,49,4,,25.4,6-Jun,225,,82,244,35.4,77.5,0.457,5.8,16.7,0.346,29.6,60.8,0.487,20.9,29.2,0.715,12.6,30.7,43.3,18.7,6.6,3.2,17.1,23.6,97.5,13
2005,NBA,NYK,23,59,5,,25.6,6-Jun,224,,82,243,34.4,75.7,0.455,3.9,10.8,0.362,30.5,64.9,0.47,22.9,31.5,0.726,12.6,28.8,41.4,17.9,6.8,3.3,17.7,26.3,95.6,14
2004,NBA,NYK,33,49,5,,27.3,6-Jul,212,,82,242.4,36.3,80.5,0.451,5.4,15.1,0.356,30.9,65.4,0.473,19.3,25.1,0.767,11.8,29.2,41,20.3,7.7,3.2,14.7,23.7,97.3,15
2003,NBA,NYK,39,43,3,,29.6,6-Jul,215,,82,242.4,35.1,79.4,0.442,5,13.6,0.364,30.2,65.8,0.459,16.8,21.1,0.793,11.6,31,42.6,20.7,7.4,4.8,15.7,23.1,92,16
2002,NBA,NYK,37,45,6,,30.2,6-Jun,212,,82,242.1,36.2,82,0.441,7.4,19.3,0.383,28.8,62.7,0.459,16.1,19.8,0.815,10.3,29,39.2,22,7.1,3.1,14,23,95.9,17
2001,NBA,NYK,30,52,7,,30.3,6-Jun,208,,82,241.5,34.4,79.5,0.432,5.8,16.4,0.353,28.6,63.1,0.453,17.1,21.8,0.787,10.7,30,40.7,21,6.8,3.5,14.5,22,91.6,18
2000,NBA,NYK,48,34,3,,29.8,6-Jun,212,,82,242.7,33.6,75.6,0.444,4.8,13.6,0.351,28.8,62,0.465,16.8,21.1,0.796,9.4,30.8,40.2,18.5,6.6,4.2,14.5,22.7,88.7,19
1999,NBA,NYK,50,32,2,,29.5,6-Jun,214,,82,241.8,35.3,77.7,0.455,4.3,11.4,0.375,31,66.3,0.468,17.2,22,0.781,9.8,30.7,40.5,19.4,6.3,4.3,14.6,24.2,92.1,20
1998,NBA,NYK,27,23,4,,29,6-Jun,215,,50,242,32.2,74.1,0.435,4.2,11.8,0.353,28,62.3,0.45,17.8,24.4,0.732,11,30.2,41.2,19.3,7.9,5.2,16.1,22.8,86.4,21
1997,NBA,NYK,43,39,2,,30.2,6-May,212,,82,241.8,34.9,78.2,0.447,4.7,13.9,0.335,30.3,64.3,0.471,17.1,22.1,0.772,11.9,29.7,41.6,21.8,7.7,3.4,15.2,23.7,91.6,22
1996,NBA,NYK,57,25,2,,29.7,6-Jun,215,,82,242.1,35.1,75.9,0.463,5.7,15.8,0.363,29.4,60.2,0.489,19.3,25.8,0.748,11.9,30.7,42.5,22.1,7.7,4.6,17.8,24.8,95.4,23
1995,NBA,NYK,47,35,2,,30.4,6-Jun,214,,82,241.8,36.6,77.8,0.471,5.9,15.7,0.377,30.7,62.2,0.494,18,23.8,0.757,10.1,29.9,40,22.2,7.9,4.6,15.5,22.7,97.2,24
1994,NBA,NYK,55,27,2,,29.4,6-Jun,213,,82,241.2,36.4,78,0.467,6.5,17.6,0.368,29.9,60.3,0.496,18.9,25.8,0.734,11.3,30.2,41.5,25.1,7.2,4.7,15.9,25.6,98.2,25
1993,NBA,NYK,57,25,1,,28.9,6-Jun,212,,82,240.9,37.8,82.1,0.46,3.9,11.1,0.348,33.9,71.1,0.477,19.1,25.6,0.746,14.3,31,45.3,25.2,9.2,4.7,16.6,24.4,98.5,26
1992,NBA,NYK,60,22,1,,28.3,6-Jun,213,,82,243,39.1,84.1,0.465,2.4,7.4,0.32,36.8,76.8,0.479,20.9,28.2,0.741,14,32.4,46.5,25.9,8.3,4.5,15.8,25.7,101.6,27
1991,NBA,NYK,51,31,2,,27.3,6-Jun,209,,82,242.1,40.4,84.7,0.477,2.5,7.5,0.325,37.9,77.2,0.492,18.3,25,0.734,14.5,30.4,44.8,26,7.7,4.7,15.1,23.2,101.6,28
1990,NBA,NYK,39,43,3,,28.1,6-Jun,209,,82,243.4,40.3,83.2,0.485,2.3,6.8,0.332,38.1,76.4,0.499,20.2,26.2,0.77,12.8,29.7,42.5,26.5,7.8,5.1,16.8,21.5,103.1,29
1989,NBA,NYK,45,37,3,,26.5,6-Jun,204,,82,241.8,41.9,86.5,0.484,2.9,8.7,0.332,39,77.8,0.501,21.6,28.6,0.756,14.5,29.6,44.1,26.1,8.7,6,17.2,22.3,108.3,30
1988,NBA,NYK,52,30,1,,25.3,6-Jun,204,,82,241.5,45.1,92.8,0.486,4.7,14,0.337,40.4,78.8,0.513,21.7,28.9,0.752,16.1,27.6,43.7,25.4,11,5.4,19.2,25,116.7,31
1987,NBA,NYK,38,44,3,,25.3,6-Jul,206,,82,241.5,41,88.2,0.465,2.2,6.9,0.316,38.8,81.3,0.478,21.3,28.1,0.759,15.7,26.8,42.4,24.5,9.6,5.4,18.5,28.8,105.5,32
1986,NBA,NYK,24,58,5,,26.4,6-Jul,204,,82,241.2,40.6,85.6,0.474,1.5,4.6,0.333,39.1,81.1,0.482,21,28.8,0.73,13.5,26.4,39.9,23.7,8.6,4.8,17.3,24.7,103.8,33
1985,NBA,NYK,23,59,5,,25.5,6-Jun,201,,82,241.5,39.5,85.8,0.46,1,2.9,0.343,38.5,82.9,0.465,18.7,27.3,0.686,13.2,26.5,39.6,22.9,8.7,3.8,17.5,27,98.7,34
