Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rank
2018,NBA,PHI,0,0,0,,26.3,6-Jul,220,,82,241.5,41.5,88.2,0.471,10.8,30.2,0.359,30.7,58,0.529,21.2,27.5,0.771,10.9,36.9,47.8,26.9,7.4,5.3,14.9,21.3,115.2,1
2017,NBA,PHI,52,30,3,,25.8,6-Jul,220,,82,241.2,40.8,86.6,0.472,11,29.8,0.369,29.9,56.7,0.526,17.1,22.8,0.752,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8,2
2016,NBA,PHI,28,54,4,,24.6,6-Jul,219,,82,241.8,37.7,85.3,0.442,10.1,29.8,0.34,27.5,55.5,0.496,17,22,0.771,9.8,33,42.8,23.8,8.4,5.1,16.7,21.9,102.4,3
2015,NBA,PHI,10,72,5,,23.3,6-Jun,215,,82,241.5,36.2,84,0.431,9.3,27.5,0.339,26.9,56.5,0.476,15.7,22.6,0.694,9.5,31.8,41.2,21.5,8.3,6,16.4,21.7,97.4,4
2014,NBA,PHI,18,64,4,,23.2,6-Jul,214,,82,241.5,33.7,82.6,0.408,8.4,26.3,0.32,25.3,56.3,0.449,16.1,23.8,0.676,11.9,30.9,42.9,20.5,9.6,5.9,17.7,21.7,92,5
2013,NBA,PHI,19,63,5,,23.4,6-Jul,213,,82,242.1,37.9,87.2,0.435,7,22.5,0.312,30.9,64.7,0.477,16.6,23.4,0.71,11.6,31.2,42.7,21.8,9.3,4,16.9,22.5,99.5,6
2012,NBA,PHI,34,48,4,,25.2,6-Jul,213,,82,240.9,37.3,84.1,0.444,6.3,17.5,0.36,31,66.5,0.466,12.2,16.8,0.729,10.9,30.4,41.3,22.8,7.4,4.7,13,18.4,93.2,7
2011,NBA,PHI,35,31,3,,24.9,6-Jun,214,,66,241.1,37.4,83.6,0.448,5.3,14.6,0.362,32.2,69,0.466,13.5,18.2,0.742,10.7,32.5,43.2,22,8,5.2,11.2,17.5,93.6,8
2010,NBA,PHI,41,41,3,,24.7,6-Jun,217,,82,243,38.1,82.6,0.461,5.4,15.2,0.355,32.7,67.4,0.485,17.4,22.6,0.77,10.4,31.4,41.8,22.7,7.6,4.3,13,19.4,99,9
2009,NBA,PHI,27,55,4,,25.4,6-Jun,216,,82,241.5,37.6,81.8,0.46,5.8,16.8,0.343,31.9,64.9,0.491,16.7,22,0.756,11.5,29.5,41,21,8.1,5.4,14.5,20.5,97.7,10
2008,NBA,PHI,41,41,2,,26.1,6-Jun,217,,82,240.9,36.5,79.7,0.459,4.2,13.1,0.318,32.4,66.6,0.486,20.1,27,0.745,12.7,28.5,41.2,20.1,8,5.1,14.1,20.1,97.4,11
2007,NBA,PHI,40,42,3,,25.3,6-Jun,215,,82,240.9,37.3,81.1,0.46,3.7,11.6,0.317,33.6,69.5,0.483,18.4,26.1,0.706,13,28.9,41.9,20.4,8.7,4.9,14.3,19.8,96.6,12
2006,NBA,PHI,35,47,3,,26.2,6-Jun,213,,82,242.4,35.8,78.1,0.458,3.5,10,0.345,32.3,68.1,0.474,20,26,0.767,11,28.7,39.7,20.4,7.2,4.8,15.3,20.4,94.9,13
2005,NBA,PHI,38,44,2,,26.5,6-Jun,213,,82,242.7,36.6,79.8,0.458,4.6,12.6,0.364,32,67.3,0.476,21.6,28.4,0.76,10.6,29.6,40.2,20.2,7.9,4.9,14.1,20.9,99.4,14
2004,NBA,PHI,43,39,2,,26.4,6-Jun,219,,82,242.1,35.9,82.1,0.437,6.2,17.7,0.348,29.8,64.4,0.462,21.1,26.8,0.789,11.1,30.9,42,20.9,9.2,3.9,15.5,22.9,99.1,15
2003,NBA,PHI,33,49,5,,27.5,6-Jun,219,,82,242.1,32.7,76.3,0.428,4.1,12.1,0.342,28.6,64.2,0.445,18.4,24.5,0.753,11.5,29.4,40.8,20,8,4.4,15.9,20.7,88,16
2002,NBA,PHI,48,34,2,,28.3,6-May,213,,82,242.1,36.3,81,0.448,3,9.6,0.311,33.3,71.4,0.466,21.3,27.5,0.775,12.7,29.5,42.2,21.6,10.3,3.5,14.8,22,96.8,17
2001,NBA,PHI,43,39,4,,29,6-Jun,211,,82,240.6,34.2,78.5,0.436,2.6,8.7,0.299,31.6,69.8,0.453,20,25.7,0.779,13.3,30.9,44.2,20,8.6,4.4,15.3,20.1,91,18
2000,NBA,PHI,56,26,1,,28.2,6-Jun,210,,82,242.1,35.4,79.1,0.447,3.2,9.8,0.326,32.2,69.3,0.464,20.7,27.8,0.745,13.1,31.7,44.8,20.6,8.4,5,15.8,20.4,94.7,19
1999,NBA,PHI,49,33,3,,27.1,6-Jun,208,,82,241.8,36.5,82.6,0.442,2.5,7.8,0.323,34,74.8,0.454,19.2,27.1,0.708,14,30.1,44.1,22.2,9.6,4.7,15.7,23.6,94.8,20
1998,NBA,PHI,28,22,3,,26,6-Jun,206,,50,243,33.1,77.7,0.426,2,7.4,0.264,31.2,70.2,0.444,21.5,29.7,0.722,14.6,28.6,43.1,18.7,10.8,5.4,16.4,23,89.7,21
1997,NBA,PHI,31,51,7,,25.4,6-Jun,213,,82,240.9,34.6,78.2,0.443,3,9.9,0.3,31.6,68.3,0.463,21.1,28.7,0.737,13.7,28,41.7,21.1,8.9,6,16.5,22.9,93.3,22
1996,NBA,PHI,22,60,6,,25.5,6-Jun,213,,82,241.2,36.6,83.5,0.438,5.3,16.5,0.319,31.3,67,0.468,21.7,29.9,0.725,15.5,28.7,44.2,20.7,8.3,4.8,17.5,21.1,100.2,23
1995,NBA,PHI,18,64,7,,26.1,6-Jun,213,,82,240.6,34.1,78.3,0.436,6,17.5,0.342,28.1,60.7,0.463,20.3,27.6,0.734,12.6,26.4,38.9,19.9,7.8,5.1,17.2,21.7,94.5,24
1994,NBA,PHI,24,58,6,,25.1,6-Jul,213,,82,241.5,36,80.2,0.448,4.3,11.4,0.379,31.6,68.8,0.46,19.1,25.9,0.737,13.5,27.2,40.7,19.1,7.8,7,16.5,22.4,95.4,25
1993,NBA,PHI,25,57,6,,27.2,6-Jun,208,,82,241.5,37.8,83.2,0.455,3.9,11.5,0.338,34,71.7,0.474,18.4,25.8,0.714,12.3,29.2,41.5,22.3,8.1,6.4,16.7,18.1,98,26
1992,NBA,PHI,26,56,6,,27.1,6-Jun,205,,82,243,39.3,86.3,0.456,4,11.5,0.351,35.3,74.8,0.472,21.7,27.5,0.786,12.6,29.6,42.2,24.9,8.2,6.9,16.6,19.6,104.3,27
1991,NBA,PHI,35,47,5,,27.6,6-Jun,208,,82,240.9,38.9,82.5,0.471,2.8,8.3,0.334,36.1,74.2,0.487,21.4,27.6,0.775,12.9,28.2,41.1,21.4,8.4,5.9,15.1,19.3,101.9,28
1990,NBA,PHI,44,38,2,,28.4,6-Jun,211,,82,244.9,40.1,84.5,0.475,2.4,7.5,0.316,37.7,76.9,0.491,22.8,28.9,0.79,12,30.4,42.4,22.2,8.3,5.8,15,19.9,105.4,29
1989,NBA,PHI,53,29,1,,27.4,6-Jun,214,,82,241.5,41.9,85.7,0.489,2.3,6.6,0.348,39.6,79.1,0.501,24.1,30.6,0.788,13.5,29.3,42.9,23.6,8.4,4.5,14.7,20.7,110.2,30
1988,NBA,PHI,46,36,2,,27,6-May,214,,82,241.2,42.7,87.8,0.486,2.5,7.9,0.316,40.2,79.9,0.503,24,30.5,0.787,13.9,28.7,42.7,25.7,8.4,4.3,14.8,21,111.9,31
1987,NBA,PHI,36,46,4,,27.2,6-Jun,213,,82,242.7,39.2,82.7,0.474,1.9,5.7,0.323,37.3,77,0.485,25.5,33.3,0.764,14.9,28.1,43,23.1,8.2,5.7,17.5,22.8,105.7,32
1986,NBA,PHI,45,37,2,,26.6,6-Jun,209,,82,242.4,40.7,82.8,0.491,1.1,4.1,0.259,39.6,78.7,0.503,24,31.9,0.753,14.4,28.4,42.7,23.7,9.4,6.6,18.5,21.6,106.5,33
